"Time_Window","Wearable_Metric","OCTA_Parameter","Parameter_Type","Region","N","Correlation","P_Value","CI_Lower","CI_Upper","Significant","P_FDR","Significant_FDR"
"acute_recovery","cv_rhr_1","Thickness_INL_0_6_improvement","Thickness","Widefield",11,0.390141751140358,0.235541174324198,-0.273816186379074,0.802259037391422,FALSE,0.98876628565732,FALSE
"acute_recovery","steps_max","VD_SVP_0_21_improvement","BloodFlow","Macular",12,-0.366421261818204,0.241396941149137,-0.776940294838676,0.26272972450168,FALSE,0.98876628565732,FALSE
"early_recovery","cv_rhr_1","PA_Choroid_0_6_improvement","BloodFlow","Widefield",12,0.363496171134192,0.245460679238528,-0.265868563520431,0.775599226565035,FALSE,0.98876628565732,FALSE
"early_recovery","cv_rhr_1","PA_Choroid_0_21_improvement","BloodFlow","Macular",12,-0.362348776615914,0.24706564985736,-0.775072162015206,0.267096169655881,FALSE,0.98876628565732,FALSE
"baseline","cv_rhr_1","Thickness_OuterRetina_0_21_improvement","Thickness","Macular",10,0.403784671932369,0.24719157141433,-0.302831533804003,0.823938297154645,FALSE,0.98876628565732,FALSE
"baseline","cv_rhr_1","VD_ICP_0_6_improvement","BloodFlow","Widefield",11,-0.373667810880661,0.257630421402809,-0.795278076032893,0.291561982394055,FALSE,0.988924886623188,FALSE
"mid_recovery","cv_rhr_1","VD_ICP_0_6_improvement","BloodFlow","Widefield",12,-0.342745193670194,0.275436286510341,-0.765977490382229,0.287759249178598,FALSE,0.988924886623188,FALSE
"acute_recovery","cv_rhr_1","Thickness_GCL.IPL_0_6_improvement","Thickness","Widefield",11,0.355595775536252,0.283166920708852,-0.310516437258679,0.787489108614399,FALSE,0.988924886623188,FALSE
"acute_recovery","cv_rhr_1","PA_SVP_0_6_improvement","BloodFlow","Widefield",12,-0.327855963535103,0.29817581737843,-0.758954859691243,0.303070512364681,FALSE,0.988924886623188,FALSE
"baseline","cv_rhr_1","Thickness_GCL.IPL_0_21_improvement","Thickness","Macular",10,0.363855700970263,0.301333642336767,-0.344750586518243,0.80830490879831,FALSE,0.988924886623188,FALSE
"acute_recovery","cv_rhr_1","PA_ICP_0_6_improvement","BloodFlow","Widefield",12,-0.324195499708734,0.30392249920457,-0.757212874660245,0.306785498679691,FALSE,0.988924886623188,FALSE
"acute_recovery","steps_max","PA_SVP_0_21_improvement","BloodFlow","Macular",12,-0.318101875591637,0.313624913739527,-0.754299241089404,0.312927536041799,FALSE,0.988924886623188,FALSE
"late_recovery","cv_rhr_1","PA_SVP_0_6_improvement","BloodFlow","Widefield",12,-0.311405127044399,0.324482337025672,-0.751077286377467,0.319617160335435,FALSE,0.988924886623188,FALSE
"mid_recovery","steps_max","Thickness_OuterRetina_0_6_improvement","Thickness","Widefield",11,-0.324199060516967,0.330727564711498,-0.773621084356567,0.342233069367808,FALSE,0.988924886623188,FALSE
"acute_recovery","cv_rhr_1","VD_ICP_0_6_improvement","BloodFlow","Widefield",12,-0.30448193631716,0.335919706202064,-0.747724222138652,0.326467481995421,FALSE,0.988924886623188,FALSE
"mid_recovery","cv_rhr_1","PA_Choroid_0_6_improvement","BloodFlow","Widefield",12,0.29973371753921,0.343888103630671,-0.331127716061579,0.745411405061755,FALSE,0.988924886623188,FALSE
"baseline","cv_rhr_1","Thickness_INL_0_21_improvement","Thickness","Macular",10,0.329414414542585,0.352640834668872,-0.378772278723642,0.794297148530926,FALSE,0.988924886623188,FALSE
"early_recovery","cv_rhr_1","VD_SVP_0_6_improvement","BloodFlow","Widefield",12,-0.287038889844009,0.365683136488124,-0.739174716144251,0.343437981200954,FALSE,0.988924886623188,FALSE
"late_recovery","cv_rhr_1","PA_ICP_0_6_improvement","BloodFlow","Widefield",12,-0.28565879241157,0.368095202185439,-0.738491999379202,0.344763341605436,FALSE,0.988924886623188,FALSE
"baseline","steps_max","Thickness_GCL.IPL_0_6_improvement","Thickness","Widefield",10,0.316342077310266,0.373192648578063,-0.391202971479031,0.788847807719395,FALSE,0.988924886623188,FALSE
"late_recovery","steps_max","PA_SVP_0_21_improvement","BloodFlow","Macular",12,-0.275803083614144,0.385560586332402,-0.733589362523704,0.354155647743666,FALSE,0.988924886623188,FALSE
"baseline","steps_max","PA_DCP_0_21_improvement","BloodFlow","Macular",11,-0.286293905564304,0.393382350019913,-0.756284239903855,0.378602516396784,FALSE,0.988924886623188,FALSE
"late_recovery","cv_rhr_1","VD_DCP_0_21_improvement","BloodFlow","Macular",12,0.267438652974328,0.400709860439417,-0.362028330373506,0.729390830413716,FALSE,0.988924886623188,FALSE
"late_recovery","cv_rhr_1","VD_SVP_0_21_improvement","BloodFlow","Macular",12,0.266892589025591,0.401709172044511,-0.36253918736679,0.729115517725648,FALSE,0.988924886623188,FALSE
"late_recovery","steps_max","Thickness_INL_0_6_improvement","Thickness","Widefield",11,0.276176117650991,0.41103681569618,-0.387975193287879,0.751542259145568,FALSE,0.988924886623188,FALSE
"baseline","cv_rhr_1","Thickness_GCL.IPL_0_6_improvement","Thickness","Widefield",10,0.291471434636511,0.413868163516013,-0.414160874732464,0.778270944708002,FALSE,0.988924886623188,FALSE
"early_recovery","cv_rhr_1","PA_SVP_0_6_improvement","BloodFlow","Widefield",12,-0.260089138590488,0.414264463817885,-0.725672788034458,0.368872435406434,FALSE,0.988924886623188,FALSE
"early_recovery","steps_max","Thickness_Retina_0_6_improvement","Thickness","Widefield",11,-0.273754044272784,0.415319431526103,-0.750399752888499,0.390198702128065,FALSE,0.988924886623188,FALSE
"acute_recovery","steps_max","VD_ICP_0_21_improvement","BloodFlow","Macular",12,-0.256146368531509,0.421628666488881,-0.723666912252832,0.372516174849942,FALSE,0.988924886623188,FALSE
"acute_recovery","cv_rhr_1","VD_DCP_0_21_improvement","BloodFlow","Macular",12,0.255866295070544,0.422154219838327,-0.372774271520031,0.723524124380552,FALSE,0.988924886623188,FALSE
"baseline","cv_rhr_1","Thickness_Retina_0_21_improvement","Thickness","Macular",10,0.28091640880033,0.431735465303201,-0.423640118858617,0.773697081146784,FALSE,0.988924886623188,FALSE
"baseline","steps_max","Thickness_INL_0_6_improvement","Thickness","Widefield",10,0.277936783314881,0.436842747548147,-0.426288416340699,0.772396540350687,FALSE,0.988924886623188,FALSE
"mid_recovery","steps_max","PA_Choroid_0_21_improvement","BloodFlow","Macular",12,0.245863043534647,0.441135039688233,-0.381929248017852,0.718397861473346,FALSE,0.988924886623188,FALSE
"mid_recovery","cv_rhr_1","Thickness_OuterRetina_0_21_improvement","Thickness","Macular",11,0.254068886780688,0.450914628902325,-0.407987298335117,0.741007292443211,FALSE,0.988924886623188,FALSE
"early_recovery","cv_rhr_1","PA_ICP_0_6_improvement","BloodFlow","Widefield",12,-0.240478889226934,0.451518207570848,-0.715617288743663,0.386806344617918,FALSE,0.988924886623188,FALSE
"baseline","cv_rhr_1","Thickness_INL_0_6_improvement","Thickness","Widefield",10,0.255098123804764,0.476890601205303,-0.446194345250709,0.762288347094885,FALSE,0.988924886623188,FALSE
"mid_recovery","steps_max","VD_SVP_0_21_improvement","BloodFlow","Macular",12,-0.226547682969228,0.47891272945659,-0.708352131464289,0.399264775693055,FALSE,0.988924886623188,FALSE
"early_recovery","steps_max","PA_Choroid_0_21_improvement","BloodFlow","Macular",12,0.220230758738169,0.491579746157146,-0.404838746707241,0.705023854791894,FALSE,0.988924886623188,FALSE
"baseline","cv_rhr_1","VD_ICP_0_21_improvement","BloodFlow","Macular",11,0.227294840475952,0.501492906267165,-0.431401058393197,0.727919170332652,FALSE,0.988924886623188,FALSE
"acute_recovery","steps_max","Thickness_INL_0_6_improvement","Thickness","Widefield",11,0.222046407445282,0.511686290595177,-0.435889070270469,0.725310055186545,FALSE,0.988924886623188,FALSE
"acute_recovery","cv_rhr_1","Thickness_Retina_0_6_improvement","Thickness","Widefield",11,0.221211805414246,0.513315370077029,-0.436599747955961,0.724893818955314,FALSE,0.988924886623188,FALSE
"baseline","steps_max","PA_SVP_0_6_improvement","BloodFlow","Widefield",11,-0.220440241269913,0.514823375098421,-0.724508693792606,0.437256018336231,FALSE,0.988924886623188,FALSE
"baseline","steps_max","PA_ICP_0_21_improvement","BloodFlow","Macular",11,-0.218752315098667,0.518128966651745,-0.723665068951323,0.438689281871199,FALSE,0.988924886623188,FALSE
"mid_recovery","steps_max","Thickness_OuterRetina_0_21_improvement","Thickness","Macular",11,-0.215855262228321,0.523823397830144,-0.722213597161629,0.441141475090111,FALSE,0.988924886623188,FALSE
"baseline","steps_max","PA_ICP_0_6_improvement","BloodFlow","Widefield",11,-0.215510982787897,0.52450185891516,-0.722040810428996,0.441432237629221,FALSE,0.988924886623188,FALSE
"baseline","cv_rhr_1","VD_DCP_0_21_improvement","BloodFlow","Macular",11,0.212575536068052,0.530301621265553,-0.443905790150089,0.720564999734833,FALSE,0.988924886623188,FALSE
"early_recovery","steps_max","Thickness_OuterRetina_0_21_improvement","Thickness","Macular",11,-0.207685561341528,0.540021987382046,-0.718096278025295,0.4480042288668,FALSE,0.988924886623188,FALSE
"early_recovery","steps_max","Thickness_Retina_0_21_improvement","Thickness","Macular",11,-0.207398850925772,0.540594177194649,-0.71795113146187,0.448243677460421,FALSE,0.988924886623188,FALSE
"mid_recovery","steps_max","VD_DCP_0_6_improvement","BloodFlow","Widefield",12,0.194002943410694,0.545732511761045,-0.427495415973328,0.690972632821867,FALSE,0.988924886623188,FALSE
"late_recovery","cv_rhr_1","VD_SVP_0_6_improvement","BloodFlow","Widefield",12,-0.193980699215856,0.545779466613152,-0.690960554228889,0.427514305683266,FALSE,0.988924886623188,FALSE
"mid_recovery","steps_max","Thickness_Retina_0_6_improvement","Thickness","Widefield",11,-0.204420021289582,0.546553725595682,-0.716440473616126,0.450725917351556,FALSE,0.988924886623188,FALSE
"mid_recovery","cv_rhr_1","Thickness_INL_0_21_improvement","Thickness","Macular",11,0.202017196545301,0.551380272983774,-0.452720820728171,0.715218417235091,FALSE,0.988924886623188,FALSE
"baseline","steps_max","Thickness_GCL.IPL_0_21_improvement","Thickness","Macular",10,0.214281226878607,0.552196228599316,-0.480121698912243,0.74358517476772,FALSE,0.988924886623188,FALSE
"mid_recovery","steps_max","PA_SVP_0_21_improvement","BloodFlow","Macular",12,-0.190223859763881,0.553733752409862,-0.688916602365624,0.43069683643458,FALSE,0.988924886623188,FALSE
"baseline","steps_max","Thickness_INL_0_21_improvement","Thickness","Macular",10,0.213382422710505,0.553904807355733,-0.480846124487699,0.743163787339007,FALSE,0.988924886623188,FALSE
"early_recovery","cv_rhr_1","Thickness_OuterRetina_0_21_improvement","Thickness","Macular",11,0.200143371598996,0.555156115028315,-0.454271995578019,0.714263222850518,FALSE,0.988924886623188,FALSE
"baseline","steps_max","PA_DCP_0_6_improvement","BloodFlow","Widefield",11,-0.19952922512571,0.556395901578485,-0.713949740420097,0.454779531485454,FALSE,0.988924886623188,FALSE
"late_recovery","steps_max","Thickness_INL_0_21_improvement","Thickness","Macular",11,0.198603038030293,0.558267703834319,-0.455544137537895,0.713476590912099,FALSE,0.988924886623188,FALSE
"early_recovery","steps_max","VD_DCP_0_21_improvement","BloodFlow","Macular",12,-0.186710786751785,0.56121474706809,-0.686998071770252,0.433658958569575,FALSE,0.988924886623188,FALSE
"mid_recovery","cv_rhr_1","Thickness_Retina_0_21_improvement","Thickness","Macular",11,0.194913679196183,0.565748639307766,-0.458580307645449,0.711587182657723,FALSE,0.988924886623188,FALSE
"baseline","steps_max","VD_ICP_0_21_improvement","BloodFlow","Macular",11,-0.194839774093835,0.565898900095364,-0.711549257598864,0.458640972621869,FALSE,0.988924886623188,FALSE
"mid_recovery","steps_max","VD_DCP_0_21_improvement","BloodFlow","Macular",12,-0.179746706119004,0.576164542523004,-0.683174175722397,0.439491503038646,FALSE,0.988924886623188,FALSE
"acute_recovery","cv_rhr_1","PA_Choroid_0_21_improvement","BloodFlow","Macular",12,-0.178440840483215,0.578985304600578,-0.682454053005465,0.440579406305095,FALSE,0.988924886623188,FALSE
"baseline","steps_max","VD_ICP_0_6_improvement","BloodFlow","Widefield",11,-0.187725355965684,0.580436630619941,-0.707884281494106,0.464452462425774,FALSE,0.988924886623188,FALSE
"late_recovery","cv_rhr_1","Thickness_OuterRetina_0_21_improvement","Thickness","Macular",11,0.184283365972866,0.587521137886205,-0.467244071793865,0.706101037577354,FALSE,0.988924886623188,FALSE
"mid_recovery","steps_max","Thickness_Retina_0_21_improvement","Thickness","Macular",11,-0.182736938949178,0.590714740965488,-0.705297696065615,0.46849407872666,FALSE,0.988924886623188,FALSE
"acute_recovery","steps_max","PA_Choroid_0_21_improvement","BloodFlow","Macular",12,0.171621581339186,0.593802971708725,-0.4462310760079,0.678677593279462,FALSE,0.988924886623188,FALSE
"mid_recovery","steps_max","VD_ICP_0_21_improvement","BloodFlow","Macular",12,-0.170531722323085,0.596184575648106,-0.678071541346232,0.447129785316783,FALSE,0.988924886623188,FALSE
"mid_recovery","cv_rhr_1","Thickness_GCL.IPL_0_21_improvement","Thickness","Macular",11,0.179624652741261,0.597161863334887,-0.47100192038998,0.703676839559615,FALSE,0.988924886623188,FALSE
"baseline","steps_max","Thickness_Retina_0_6_improvement","Thickness","Widefield",10,0.189433581536202,0.600166877427978,-0.499805730415261,0.73177888372381,FALSE,0.988924886623188,FALSE
"baseline","cv_rhr_1","PA_Choroid_0_21_improvement","BloodFlow","Macular",11,-0.177855147743239,0.600839077955565,-0.702752855407374,0.472423091356866,FALSE,0.988924886623188,FALSE
"late_recovery","steps_max","Thickness_GCL.IPL_0_21_improvement","Thickness","Macular",11,0.177813630029339,0.600925456893846,-0.472456395594458,0.702731154780086,FALSE,0.988924886623188,FALSE
"early_recovery","steps_max","PA_SVP_0_21_improvement","BloodFlow","Macular",12,-0.160980857930247,0.617209518276384,-0.672730778957392,0.45495253874661,FALSE,0.988924886623188,FALSE
"early_recovery","cv_rhr_1","VD_DCP_0_21_improvement","BloodFlow","Macular",12,0.159904545508742,0.61959587279326,-0.455828185824604,0.672125551978703,FALSE,0.988924886623188,FALSE
"late_recovery","steps_max","VD_DCP_0_21_improvement","BloodFlow","Macular",12,-0.158385373515735,0.622969854875001,-0.671270131842004,0.457062101626767,FALSE,0.988924886623188,FALSE
"acute_recovery","steps_max","Thickness_GCL.IPL_0_6_improvement","Thickness","Widefield",11,0.158576742165012,0.641429146936349,-0.487690420249934,0.692570169713724,FALSE,0.988924886623188,FALSE
"baseline","cv_rhr_1","VD_SVP_0_21_improvement","BloodFlow","Macular",11,0.157312129920842,0.64412427182655,-0.48867828881337,0.691894690952696,FALSE,0.988924886623188,FALSE
"early_recovery","cv_rhr_1","Thickness_Retina_0_21_improvement","Thickness","Macular",11,0.153614757697798,0.652026052808908,-0.491557070263458,0.689914397660735,FALSE,0.988924886623188,FALSE
"baseline","steps_max","Thickness_Retina_0_21_improvement","Thickness","Macular",10,0.160371550024929,0.658071421379721,-0.521959127353789,0.717544415985935,FALSE,0.988924886623188,FALSE
"early_recovery","cv_rhr_1","VD_ICP_0_21_improvement","BloodFlow","Macular",12,0.134265947551165,0.677394268539833,-0.476340281544514,0.657503351604077,FALSE,0.988924886623188,FALSE
"mid_recovery","steps_max","PA_DCP_0_6_improvement","BloodFlow","Widefield",12,0.134149200273267,0.677661429285567,-0.476432189156014,0.657435854501944,FALSE,0.988924886623188,FALSE
"early_recovery","cv_rhr_1","Thickness_GCL.IPL_0_21_improvement","Thickness","Macular",11,0.141158978508372,0.678878984937034,-0.501152498097925,0.683183550225588,FALSE,0.988924886623188,FALSE
"late_recovery","steps_max","PA_SVP_0_6_improvement","BloodFlow","Widefield",12,0.13040903503648,0.686238198428977,-0.479369535712863,0.655269035660096,FALSE,0.988924886623188,FALSE
"mid_recovery","steps_max","PA_ICP_0_6_improvement","BloodFlow","Widefield",12,0.126875271527302,0.694373013139662,-0.482132289093234,0.653213826923498,FALSE,0.988924886623188,FALSE
"late_recovery","steps_max","PA_ICP_0_6_improvement","BloodFlow","Widefield",12,0.126550924294477,0.695121168729445,-0.482385263555456,0.653024799757682,FALSE,0.988924886623188,FALSE
"baseline","steps_max","Thickness_OuterRetina_0_21_improvement","Thickness","Macular",10,0.141763250234616,0.696050268152581,-0.535676383576908,0.708179000876279,FALSE,0.988924886623188,FALSE
"late_recovery","steps_max","Thickness_GCL.IPL_0_6_improvement","Thickness","Widefield",11,0.132526868821243,0.697689311755091,-0.507710939678334,0.678464273101245,FALSE,0.988924886623188,FALSE
"acute_recovery","steps_max","Thickness_INL_0_21_improvement","Thickness","Macular",11,0.13155018259048,0.699827484537662,-0.508448355503538,0.677927454408662,FALSE,0.988924886623188,FALSE
"early_recovery","steps_max","VD_SVP_0_21_improvement","BloodFlow","Macular",12,-0.119801370062973,0.710745826286697,-0.649076267559653,0.48762662548166,FALSE,0.988924886623188,FALSE
"baseline","steps_max","PA_Choroid_0_21_improvement","BloodFlow","Macular",11,0.124489113219267,0.715343078764627,-0.513751811105775,0.674029047300694,FALSE,0.988924886623188,FALSE
"acute_recovery","steps_max","VD_ICP_0_6_improvement","BloodFlow","Widefield",12,-0.115510696586206,0.720732202521643,-0.646551281181919,0.490935935255924,FALSE,0.988924886623188,FALSE
"baseline","cv_rhr_1","Thickness_OuterRetina_0_6_improvement","Thickness","Widefield",10,-0.125965784618943,0.728780636330508,-0.700068678369997,0.547047611836394,FALSE,0.988924886623188,FALSE
"baseline","steps_max","VD_SVP_0_6_improvement","BloodFlow","Widefield",11,-0.117558122818389,0.730667480130592,-0.67017245397387,0.518910556922941,FALSE,0.988924886623188,FALSE
"early_recovery","steps_max","PA_DCP_0_21_improvement","BloodFlow","Macular",12,-0.109695914004006,0.734329797457558,-0.643110713165153,0.495393002231151,FALSE,0.988924886623188,FALSE
"mid_recovery","steps_max","PA_SVP_0_6_improvement","BloodFlow","Widefield",12,0.109262966179221,0.735345084767934,-0.495723589921298,0.642853676500573,FALSE,0.988924886623188,FALSE
