"Time_Window","Outcome_Type","Outcome_Parameter","N","Cluster1_N","Cluster2_N","Cluster1_Mean","Cluster2_Mean","Mean_Difference","T_Statistic","P_Value","Cohens_D","Effect_Size","Better_Cluster","Better_Cluster_N","Better_Cluster_Mean","Significant","Parameter_Type","P_Value_FDR","Significant_FDR","Parameter_Type_Detailed","Region_Type","P_Value_FDR_Strategy1","Significant_FDR_Strategy1","Tests_in_Group_Strategy1","P_Value_FDR_Strategy2","Significant_FDR_Strategy2","Tests_in_Group_Strategy2","P_Value_FDR_Strategy3","Significant_FDR_Strategy3","Tests_in_Group_Strategy3"
"acute_recovery","OCTA","PA_ICP_0_21_improvement",12,7,5,0.470285714285715,-2.4888,2.95908571428572,1.76354214912443,0.142692682378922,1.19982432433302,"Large",1,7,0.470285714285715,FALSE,"BloodFlow",0.631256990304661,FALSE,"BloodFlow_ICP","Widefield",0.570770729515689,FALSE,4,0.285385364757844,FALSE,2,0.641146203620767,FALSE,20
"mid_recovery","OCTA","Thickness_Retina_0_21_improvement",11,6,5,-22.7527666666667,20.91256,43.6653266666667,-1.68309782048229,0.143157144689909,1.07500148884022,"Large",2,5,20.91256,FALSE,"Thickness",0.299424532864278,FALSE,"Thickness_Retina","Widefield",0.149712266432139,FALSE,2,0.143157144689909,FALSE,1,0.552553451946744,FALSE,10
"mid_recovery","OCTA","Thickness_Retina_0_6_improvement",11,6,5,-41.36105,40.5474,81.90845,-1.71568570854214,0.149712266432139,1.12653911535466,"Large",2,5,40.5474,FALSE,"Thickness",0.299424532864278,FALSE,"Thickness_Retina","Macular",0.149712266432139,FALSE,2,0.149712266432139,FALSE,1,0.552553451946744,FALSE,10
"mid_recovery","OCTA","PA_Choroid_0_21_improvement",12,6,6,2.21368333333334,-4.48453333333333,6.69821666666667,1.55110566083343,0.15719289223278,0.895531270823736,"Large",1,6,2.21368333333334,FALSE,"BloodFlow",0.280501464084085,FALSE,"BloodFlow_Choroid","Widefield",0.278037812441059,FALSE,2,0.15719289223278,FALSE,1,0.392766296042376,FALSE,10
"mid_recovery","OCTA","VD_ICP_0_6_improvement",12,6,6,1.30846666666667,-3.55663333333333,4.8651,1.51701209018942,0.160286550905192,0.875847338634777,"Large",1,6,1.30846666666667,FALSE,"BloodFlow",0.280501464084085,FALSE,"BloodFlow_ICP","Macular",0.213715401206922,FALSE,4,0.160286550905192,FALSE,2,0.641146203620767,FALSE,20
"baseline","OCTA","PA_Choroid_0_21_improvement",11,3,8,-6.31819999999999,1.59722499999999,7.91542499999998,-1.6408065736756,0.17472121183368,1.04753803637624,"Large",2,8,1.59722499999999,FALSE,"BloodFlow",0.746415613262574,FALSE,"BloodFlow_Choroid","Widefield",0.322306998715628,FALSE,2,0.17472121183368,FALSE,1,0.392766296042376,FALSE,10
"acute_recovery","OCTA","PA_Choroid_0_6_improvement",12,7,5,-0.984914285714286,0.1512,1.13611428571429,-1.43871043482067,0.196383148021188,0.710043844062395,"Medium",2,5,0.1512,FALSE,"BloodFlow",0.631256990304661,FALSE,"BloodFlow_Choroid","Macular",0.392766296042376,FALSE,2,0.196383148021188,FALSE,1,0.392766296042376,FALSE,10
"baseline","OCTA","Thickness_GCL.IPL_0_6_improvement",10,2,8,-7.46695,5.9589625,13.4259125,-1.40099145571068,0.200138532650164,0.585455599031902,"Medium",2,8,5.9589625,FALSE,"Thickness",0.818287749227217,FALSE,"Thickness_GCL_IPL","Macular",0.400277065300328,FALSE,2,0.200138532650164,FALSE,1,0.553812446618784,FALSE,10
"acute_recovery","OCTA","Thickness_OuterRetina_0_21_improvement",11,7,4,-8.09608571428571,9.25435,17.3504357142857,-1.50875843987664,0.208791384337284,1.1460499420337,"Large",2,4,9.25435,FALSE,"Thickness",0.579319277187985,FALSE,"Other","Widefield",0.417582768674567,FALSE,2,0.208791384337284,FALSE,1,0.695971281124279,FALSE,10
"baseline","OCTA","VD_ICP_0_21_improvement",11,3,8,0.7326,-0.432125,1.164725,1.35060207965732,0.213261603789307,0.656958319061857,"Medium",1,3,0.7326,FALSE,"BloodFlow",0.746415613262574,FALSE,"BloodFlow_ICP","Widefield",0.789801407909539,FALSE,4,0.426523207578614,FALSE,2,0.667340330312278,FALSE,20
"acute_recovery","OCTA","PA_DCP_0_6_improvement",12,7,5,0.306357142857143,-0.97646,1.28281714285714,1.39066109778767,0.225448925108808,0.938353293368538,"Large",1,7,0.306357142857143,FALSE,"BloodFlow",0.631256990304661,FALSE,"BloodFlow_DCP","Macular",0.300598566811744,FALSE,4,0.225448925108808,FALSE,2,0.554840026490731,FALSE,20
"early_recovery","OCTA","VD_SVP_0_21_improvement",12,6,6,-2.33361666666667,-0.25715,2.07646666666667,-1.31102989594775,0.229227277499343,0.756923463341081,"Medium",2,6,-0.25715,FALSE,"BloodFlow",0.965986528608348,FALSE,"BloodFlow_SVP","Widefield",0.916909109997374,FALSE,4,0.458454554998687,FALSE,2,0.901508101492947,FALSE,20
"mid_recovery","OCTA","VD_DCP_0_21_improvement",12,6,6,-0.4781,0.4765,0.9546,-1.27789383511194,0.230979873226899,0.737792349697644,"Medium",2,6,0.4765,FALSE,"BloodFlow",0.349549216689161,FALSE,"BloodFlow_DCP","Widefield",0.249678011920829,FALSE,4,0.249678011920829,FALSE,2,0.554840026490731,FALSE,20
"mid_recovery","OCTA","Thickness_INL_0_21_improvement",11,6,5,-1.906,3.70342,5.60942,-1.35539055112639,0.231664578554799,0.881803478748813,"Large",2,5,3.70342,FALSE,"Thickness",0.307725378508991,FALSE,"Thickness_INL","Widefield",0.254198591091129,FALSE,2,0.231664578554799,FALSE,1,0.482766064323321,FALSE,10
"early_recovery","OCTA","VD_ICP_0_21_improvement",12,6,6,-0.60975,0.6818,1.29155,-1.30836134900262,0.233569115609297,0.755382777043965,"Medium",2,6,0.6818,FALSE,"BloodFlow",0.965986528608348,FALSE,"BloodFlow_ICP","Widefield",0.886891881791298,FALSE,4,0.467138231218595,FALSE,2,0.667340330312278,FALSE,20
"late_recovery","OCTA","Thickness_Retina_0_6_improvement",11,3,8,-36.8280666666667,8.13186249999999,44.9599291666667,-1.23427374850817,0.248501172454564,0.54404231640258,"Medium",2,8,8.13186249999999,FALSE,"Thickness",0.440284056453812,FALSE,"Thickness_Retina","Macular",0.303291763423312,FALSE,2,0.248501172454564,FALSE,1,0.552553451946744,FALSE,10
"mid_recovery","OCTA","PA_DCP_0_21_improvement",12,6,6,0.629316666666667,-3.5682,4.19751666666667,1.28380300504888,0.249678011920829,0.74120401055142,"Medium",1,6,0.629316666666667,FALSE,"BloodFlow",0.349549216689161,FALSE,"BloodFlow_DCP","Widefield",0.249678011920829,FALSE,4,0.249678011920829,FALSE,2,0.554840026490731,FALSE,20
"mid_recovery","OCTA","Thickness_INL_0_6_improvement",11,6,5,-2.42663333333333,7.36024,9.78687333333333,-1.32554512020469,0.254198591091129,0.886766519700809,"Large",2,5,7.36024,FALSE,"Thickness",0.307725378508991,FALSE,"Thickness_INL","Macular",0.254198591091129,FALSE,2,0.254198591091129,FALSE,1,0.482766064323321,FALSE,10
"acute_recovery","OCTA","Thickness_Retina_0_21_improvement",11,7,4,-17.6331857142857,22.869625,40.5028107142857,-1.28552239931401,0.26888885039085,0.964436382314594,"Large",2,4,22.869625,FALSE,"Thickness",0.579319277187985,FALSE,"Thickness_Retina","Widefield",0.5377777007817,FALSE,2,0.26888885039085,FALSE,1,0.552553451946744,FALSE,10
"baseline","OCTA","Thickness_INL_0_6_improvement",10,2,8,-1.5472,4.117375,5.664575,-1.19200725624096,0.269128019984572,0.461696790219552,"Small",2,8,4.117375,FALSE,"Thickness",0.818287749227217,FALSE,"Thickness_INL","Macular",0.538256039969145,FALSE,2,0.269128019984572,FALSE,1,0.482766064323321,FALSE,10
"mid_recovery","OCTA","Thickness_GCL.IPL_0_21_improvement",11,6,5,-2.90706666666667,3.25238,6.15944666666667,-1.25852214714013,0.269259706195367,0.831631581838975,"Large",2,5,3.25238,FALSE,"Thickness",0.307725378508991,FALSE,"Thickness_GCL_IPL","Widefield",0.361629830424953,FALSE,2,0.269259706195367,FALSE,1,0.553812446618784,FALSE,10
"early_recovery","OCTA","PA_Choroid_0_6_improvement",12,6,6,0.0504999999999995,-1.07356666666667,1.12406666666667,1.21740590555534,0.275996151030957,0.702869627285418,"Medium",1,6,0.0504999999999995,FALSE,"BloodFlow",0.965986528608348,FALSE,"BloodFlow_Choroid","Macular",0.275996151030957,FALSE,2,0.275996151030957,FALSE,1,0.397196874915798,FALSE,10
"baseline","OCTA","VD_SVP_0_6_improvement",11,3,8,-8.50123333333333,0.52155,9.02278333333333,-1.30841674925756,0.277774445095824,0.962621404545592,"Large",2,8,0.52155,FALSE,"BloodFlow",0.752049663669798,FALSE,"BloodFlow_SVP","Macular",0.555548890191648,FALSE,4,0.539572680556562,FALSE,2,0.901508101492947,FALSE,20
"mid_recovery","OCTA","PA_Choroid_0_6_improvement",12,6,6,0.0481499999999997,-1.07121666666667,1.11936666666667,1.21156663295786,0.278037812441059,0.699498321679388,"Medium",1,6,0.0481499999999997,FALSE,"BloodFlow",0.353866306743166,FALSE,"BloodFlow_Choroid","Macular",0.278037812441059,FALSE,2,0.278037812441059,FALSE,1,0.397196874915798,FALSE,10
"acute_recovery","OCTA","Thickness_GCL.IPL_0_21_improvement",11,7,4,-2.86105714285714,4.711725,7.57278214285714,-1.2828647535829,0.284627558840217,1.06953265625942,"Large",2,4,4.711725,FALSE,"Thickness",0.579319277187985,FALSE,"Thickness_GCL_IPL","Widefield",0.560468234715418,FALSE,2,0.284627558840217,FALSE,1,0.553812446618784,FALSE,10
"acute_recovery","OCTA","Thickness_INL_0_21_improvement",11,7,4,-1.59685714285714,4.564775,6.16163214285714,-1.24401913553978,0.289659638593993,0.983335217696773,"Large",2,4,4.564775,FALSE,"Thickness",0.579319277187985,FALSE,"Thickness_INL","Widefield",0.517686732828935,FALSE,2,0.289659638593993,FALSE,1,0.482766064323321,FALSE,10
"late_recovery","OCTA","Thickness_Retina_0_21_improvement",11,3,8,-18.8875,3.0885875,21.9760875,-1.09242452854492,0.303291763423312,0.478353071767282,"Small",2,8,3.0885875,FALSE,"Thickness",0.440284056453812,FALSE,"Thickness_Retina","Widefield",0.303291763423312,FALSE,2,0.303291763423312,FALSE,1,0.552553451946744,FALSE,10
"late_recovery","OCTA","Thickness_GCL.IPL_0_21_improvement",11,3,8,-2.75096666666667,0.88405,3.63501666666667,-1.07239160447313,0.312765837871749,0.457428349698867,"Small",2,8,0.88405,FALSE,"Thickness",0.440284056453812,FALSE,"Thickness_GCL_IPL","Widefield",0.399375318252375,FALSE,2,0.312765837871749,FALSE,1,0.553812446618784,FALSE,10
"acute_recovery","OCTA","PA_SVP_0_21_improvement",12,7,5,-1.20477142857143,-3.55412,2.34934857142857,1.10060061841031,0.315527835522531,0.71346226048177,"Medium",1,7,-1.20477142857143,FALSE,"BloodFlow",0.69507565036708,FALSE,"BloodFlow_SVP","Widefield",0.595779128886069,FALSE,4,0.595779128886069,FALSE,2,0.901508101492947,FALSE,20
"baseline","OCTA","PA_Choroid_0_6_improvement",11,3,8,0.2236,-0.1862125,0.4098125,1.09414928271961,0.322306998715628,0.632169017979404,"Medium",1,3,0.2236,FALSE,"BloodFlow",0.752049663669798,FALSE,"BloodFlow_Choroid","Macular",0.322306998715628,FALSE,2,0.322306998715628,FALSE,1,0.402883748394535,FALSE,10
"late_recovery","OCTA","PA_ICP_0_21_improvement",12,4,8,-2.16465,-0.0616749999999997,2.102975,-1.10412550076075,0.324929534463356,0.770107633480575,"Medium",2,8,-0.0616749999999997,FALSE,"BloodFlow",0.746604428537703,FALSE,"BloodFlow_ICP","Widefield",0.586617765279624,FALSE,4,0.324929534463356,FALSE,2,0.81232383615839,FALSE,20
"early_recovery","VA","vision_improvement_1w",12,5,7,0.159,0.0571428571428571,0.101857142857143,1.05225019363568,0.326523828644852,0.645801012723806,"Medium",1,5,0.159,FALSE,"Vision",0.354969827696757,FALSE,"Vision","Vision",0.354969827696757,FALSE,2,0.354969827696757,FALSE,2,0.753005332696971,FALSE,10
"baseline","OCTA","Thickness_Retina_0_6_improvement",10,2,8,-32.98065,5.8198625,38.8005125,-1.03743166422213,0.331532071168047,0.437443395112972,"Small",2,8,5.8198625,FALSE,"Thickness",0.818287749227217,FALSE,"Thickness_Retina","Macular",0.663064142336093,FALSE,2,0.331532071168047,FALSE,1,0.552553451946744,FALSE,10
"early_recovery","VA","vision_improvement_1m",15,7,8,0.199285714285714,0.11,0.0892857142857143,0.960109775242198,0.354969827696757,0.497557097585662,"Small",1,7,0.199285714285714,FALSE,"Vision",0.354969827696757,FALSE,"Vision","Vision",0.354969827696757,FALSE,2,0.354969827696757,FALSE,2,0.753005332696971,FALSE,10
"early_recovery","OCTA","Thickness_INL_0_21_improvement",11,6,5,2.34073333333333,-1.39266,3.73339333333333,0.978896872445506,0.360846439579549,0.551794865854583,"Medium",1,6,2.34073333333333,FALSE,"Thickness",0.847072266646773,FALSE,"Thickness_INL","Widefield",0.677902425632313,FALSE,2,0.360846439579549,FALSE,1,0.51549491368507,FALSE,10
"mid_recovery","OCTA","Thickness_GCL.IPL_0_6_improvement",11,6,5,-3.60681666666667,10.75032,14.3571366666667,-1.02548197827962,0.361629830424953,0.685554814076547,"Medium",2,5,10.75032,FALSE,"Thickness",0.361629830424953,FALSE,"Thickness_GCL_IPL","Macular",0.361629830424953,FALSE,2,0.361629830424953,FALSE,1,0.553812446618784,FALSE,10
"early_recovery","OCTA","Thickness_GCL.IPL_0_6_improvement",11,6,5,8.08473333333333,-3.27954,11.3642733333333,0.95793206136385,0.378429616378013,0.528765365104138,"Medium",1,6,8.08473333333333,FALSE,"Thickness",0.847072266646773,FALSE,"Thickness_GCL_IPL","Macular",0.443049957295027,FALSE,2,0.378429616378013,FALSE,1,0.553812446618784,FALSE,10
"late_recovery","OCTA","Thickness_OuterRetina_0_21_improvement",11,3,8,-6.94453333333333,0.1473,7.09183333333332,-0.926042312494481,0.378705381854037,0.4079885485427,"Small",2,8,0.1473,FALSE,"Thickness",0.440284056453812,FALSE,"Other","Widefield",0.440284056453812,FALSE,2,0.378705381854037,FALSE,1,0.733806760756354,FALSE,10
"mid_recovery","OCTA","PA_SVP_0_21_improvement",12,6,6,-1.28366666666667,-3.08366666666666,1.8,0.920120576555501,0.382675944562242,0.531231862561232,"Medium",1,6,-1.28366666666667,FALSE,"BloodFlow",0.44645526865595,FALSE,"BloodFlow_SVP","Widefield",0.510234592749657,FALSE,4,0.765351889124485,FALSE,2,0.916583275209336,FALSE,20
"late_recovery","OCTA","PA_DCP_0_21_improvement",12,4,8,-3.692575,-0.357875,3.3347,-0.931839756047852,0.386526843971971,0.568635053457258,"Medium",2,8,-0.357875,FALSE,"BloodFlow",0.746604428537703,FALSE,"BloodFlow_DCP","Widefield",0.6482783424585,FALSE,4,0.386526843971971,FALSE,2,0.65489454807454,FALSE,20
"late_recovery","OCTA","Thickness_GCL.IPL_0_6_improvement",11,3,8,-2.8801,5.093875,7.973975,-0.895287524430571,0.399375318252375,0.361844255171652,"Small",2,8,5.093875,FALSE,"Thickness",0.440284056453812,FALSE,"Thickness_GCL_IPL","Macular",0.399375318252375,FALSE,2,0.399375318252375,FALSE,1,0.553812446618784,FALSE,10
"early_recovery","OCTA","VD_DCP_0_21_improvement",12,6,6,-0.3407,0.3391,0.6798,-0.875477280143648,0.407608427534425,0.505457043360336,"Medium",2,6,0.3391,FALSE,"BloodFlow",0.983199290312258,FALSE,"BloodFlow_DCP","Widefield",0.901007082885952,FALSE,4,0.815216855068849,FALSE,2,0.65489454807454,FALSE,20
"baseline","OCTA","Thickness_OuterRetina_0_6_improvement",10,2,8,-19.04325,-0.711324999999999,18.331925,-0.89455506972239,0.409143874613608,0.416821988367033,"Small",2,8,-0.711324999999999,FALSE,"Thickness",0.818287749227217,FALSE,"Other","Macular",0.818287749227217,FALSE,2,0.409143874613608,FALSE,1,0.733806760756354,FALSE,10
"acute_recovery","OCTA","VD_DCP_0_21_improvement",12,7,5,-0.292242857142857,0.40722,0.699462857142857,-0.859717066797185,0.415995547814267,0.520661636710328,"Medium",2,5,0.40722,FALSE,"BloodFlow",0.69507565036708,FALSE,"BloodFlow_DCP","Widefield",0.415995547814267,FALSE,4,0.415995547814267,FALSE,2,0.65489454807454,FALSE,20
"baseline","OCTA","PA_DCP_0_6_improvement",11,3,8,-0.927233333333333,0.1335875,1.06082083333333,-0.920515598691344,0.425681456248451,0.705620667485903,"Medium",2,8,0.1335875,FALSE,"BloodFlow",0.772823996258488,FALSE,"BloodFlow_DCP","Macular",0.663842650705986,FALSE,4,0.425681456248451,FALSE,2,0.65489454807454,FALSE,20
"acute_recovery","OCTA","VD_SVP_0_6_improvement",12,7,5,-0.615042857142858,-5.59366,4.97861714285714,0.836291307468328,0.42804701669246,0.50541567841785,"Medium",1,7,-0.615042857142858,FALSE,"BloodFlow",0.69507565036708,FALSE,"BloodFlow_SVP","Macular",0.595779128886069,FALSE,4,0.556901646784676,FALSE,2,0.916583275209336,FALSE,20
"late_recovery","OCTA","Thickness_OuterRetina_0_6_improvement",11,3,8,-15.4586333333333,-0.721549999999997,14.7370833333333,-0.80762558531061,0.440284056453812,0.35451429024556,"Small",2,8,-0.721549999999997,FALSE,"Thickness",0.440284056453812,FALSE,"Other","Macular",0.440284056453812,FALSE,2,0.440284056453812,FALSE,1,0.733806760756354,FALSE,10
"acute_recovery","VA","vision_improvement_1m",15,7,8,0.111428571428571,0.186875,0.0754464285714286,-0.797683615186914,0.440308732725757,0.416225811039165,"Small",2,8,0.186875,FALSE,"Vision",0.509176392879629,FALSE,"Vision","Vision",0.509176392879629,FALSE,2,0.509176392879629,FALSE,2,0.753005332696971,FALSE,10
"early_recovery","OCTA","Thickness_GCL.IPL_0_21_improvement",11,6,5,1.53051666666667,-2.07272,3.60323666666667,0.828098001169012,0.443049957295027,0.456076954567384,"Small",1,6,1.53051666666667,FALSE,"Thickness",0.847072266646773,FALSE,"Thickness_GCL_IPL","Widefield",0.443049957295027,FALSE,2,0.443049957295027,FALSE,1,0.553812446618784,FALSE,10
"late_recovery","VA","vision_improvement_1m",15,6,9,0.0991666666666667,0.186666666666667,0.0875,-0.812392787575689,0.444149560326781,0.486330058957221,"Small",2,9,0.186666666666667,FALSE,"Vision",0.489749805687531,FALSE,"Vision","Vision",0.489749805687531,FALSE,2,0.489749805687531,FALSE,2,0.753005332696971,FALSE,10
"early_recovery","OCTA","VD_ICP_0_6_improvement",12,6,6,-2.41603333333333,0.167866666666666,2.5839,-0.746396312523148,0.473628630762993,0.430932111957384,"Small",2,6,0.167866666666666,FALSE,"BloodFlow",0.983199290312258,FALSE,"BloodFlow_ICP","Macular",0.886891881791298,FALSE,4,0.886891881791298,FALSE,2,0.846215794188792,FALSE,20
"acute_recovery","OCTA","PA_Choroid_0_21_improvement",12,7,5,0.288542857142862,-3.12898,3.41752285714286,0.741211035001745,0.476277345068152,0.420675140309672,"Small",1,7,0.288542857142862,FALSE,"BloodFlow",0.69507565036708,FALSE,"BloodFlow_Choroid","Widefield",0.476277345068152,FALSE,2,0.476277345068152,FALSE,1,0.529197050075724,FALSE,10
"late_recovery","OCTA","PA_DCP_0_6_improvement",12,4,8,-0.7322,0.0238749999999999,0.756075,-0.753855400258911,0.486208756843875,0.510154113673813,"Medium",2,8,0.0238749999999999,FALSE,"BloodFlow",0.746604428537703,FALSE,"BloodFlow_DCP","Macular",0.6482783424585,FALSE,4,0.97241751368775,FALSE,2,0.694583938348393,FALSE,20
"late_recovery","VA","vision_improvement_1w",12,6,6,0.0658333333333333,0.133333333333333,0.0675,-0.717714044036224,0.489749805687531,0.414372396525489,"Small",2,6,0.133333333333333,FALSE,"Vision",0.489749805687531,FALSE,"Vision","Vision",0.489749805687531,FALSE,2,0.489749805687531,FALSE,2,0.753005332696971,FALSE,10
"acute_recovery","VA","vision_improvement_1w",12,6,6,0.0666666666666667,0.1325,0.0658333333333333,-0.699115044247788,0.509176392879629,0.403634258990977,"Small",2,6,0.1325,FALSE,"Vision",0.509176392879629,FALSE,"Vision","Vision",0.509176392879629,FALSE,2,0.509176392879629,FALSE,2,0.753005332696971,FALSE,10
