"orig_group","day","stat_type","n"
"Diabetes_Surgery0",-2,"max",8
"Diabetes_Surgery0",-2,"mean",8
"Diabetes_Surgery0",-2,"median",8
"Diabetes_Surgery0",-2,"min",8
"Diabetes_Surgery0",-2,"sd",8
"Diabetes_Surgery0",-2,"skew",8
"Diabetes_Surgery0",-1,"cv",10
"Diabetes_Surgery0",-1,"iqr",10
"Diabetes_Surgery0",-1,"kurt",10
"Diabetes_Surgery0",-1,"max",10
"Diabetes_Surgery0",-1,"mean",10
"Diabetes_Surgery0",-1,"median",10
"Diabetes_Surgery0",-1,"min",10
"Diabetes_Surgery0",-1,"sd",10
"Diabetes_Surgery0",-1,"skew",10
"Diabetes_Surgery0",0,"cv",6
"Diabetes_Surgery0",0,"iqr",6
"Diabetes_Surgery0",0,"kurt",6
"Diabetes_Surgery0",0,"max",6
"Diabetes_Surgery0",0,"mean",6
"Diabetes_Surgery0",0,"median",6
"Diabetes_Surgery0",0,"min",6
"Diabetes_Surgery0",0,"sd",6
"Diabetes_Surgery0",0,"skew",6
"Diabetes_Surgery0",1,"cv",8
"Diabetes_Surgery0",1,"iqr",8
"Diabetes_Surgery0",1,"kurt",8
"Diabetes_Surgery0",1,"max",8
"Diabetes_Surgery0",1,"mean",8
"Diabetes_Surgery0",1,"median",8
"Diabetes_Surgery0",1,"min",8
"Diabetes_Surgery0",1,"sd",8
"Diabetes_Surgery0",1,"skew",8
"Diabetes_Surgery0",2,"cv",9
"Diabetes_Surgery0",2,"iqr",9
"Diabetes_Surgery0",2,"kurt",9
"Diabetes_Surgery0",2,"max",9
"Diabetes_Surgery0",2,"mean",9
"Diabetes_Surgery0",2,"median",9
"Diabetes_Surgery0",2,"min",9
"Diabetes_Surgery0",2,"sd",9
"Diabetes_Surgery0",2,"skew",9
"Diabetes_Surgery0",3,"cv",7
"Diabetes_Surgery0",3,"iqr",7
"Diabetes_Surgery0",3,"kurt",7
"Diabetes_Surgery0",3,"max",7
"Diabetes_Surgery0",3,"mean",7
"Diabetes_Surgery0",3,"median",7
"Diabetes_Surgery0",3,"min",7
"Diabetes_Surgery0",3,"sd",7
"Diabetes_Surgery0",3,"skew",7
"Diabetes_Surgery0",4,"cv",8
"Diabetes_Surgery0",4,"iqr",8
"Diabetes_Surgery0",4,"kurt",8
"Diabetes_Surgery0",4,"max",8
"Diabetes_Surgery0",4,"mean",8
"Diabetes_Surgery0",4,"median",8
"Diabetes_Surgery0",4,"min",8
"Diabetes_Surgery0",4,"sd",8
"Diabetes_Surgery0",4,"skew",8
"Diabetes_Surgery0",5,"cv",8
"Diabetes_Surgery0",5,"iqr",8
"Diabetes_Surgery0",5,"kurt",8
"Diabetes_Surgery0",5,"max",8
"Diabetes_Surgery0",5,"mean",8
"Diabetes_Surgery0",5,"median",8
"Diabetes_Surgery0",5,"min",8
"Diabetes_Surgery0",5,"sd",8
"Diabetes_Surgery0",5,"skew",8
"Diabetes_Surgery0",6,"cv",8
"Diabetes_Surgery0",6,"iqr",8
"Diabetes_Surgery0",6,"kurt",8
"Diabetes_Surgery0",6,"max",8
"Diabetes_Surgery0",6,"mean",8
"Diabetes_Surgery0",6,"median",8
"Diabetes_Surgery0",6,"min",8
"Diabetes_Surgery0",6,"sd",8
"Diabetes_Surgery0",6,"skew",8
"Diabetes_Surgery0",7,"cv",7
"Diabetes_Surgery0",7,"iqr",7
"Diabetes_Surgery0",7,"kurt",7
"Diabetes_Surgery0",7,"max",7
"Diabetes_Surgery0",7,"mean",7
"Diabetes_Surgery0",7,"median",7
"Diabetes_Surgery0",7,"min",7
"Diabetes_Surgery0",7,"sd",7
"Diabetes_Surgery0",7,"skew",7
"Diabetes_Surgery0",8,"cv",7
"Diabetes_Surgery0",8,"iqr",7
"Diabetes_Surgery0",8,"kurt",7
"Diabetes_Surgery0",8,"max",7
"Diabetes_Surgery0",8,"mean",7
"Diabetes_Surgery0",8,"median",7
"Diabetes_Surgery0",8,"min",7
"Diabetes_Surgery0",8,"sd",7
"Diabetes_Surgery0",8,"skew",7
"Diabetes_Surgery0",9,"cv",7
"Diabetes_Surgery0",9,"iqr",7
"Diabetes_Surgery0",9,"kurt",7
"Diabetes_Surgery0",9,"max",7
"Diabetes_Surgery0",9,"mean",7
"Diabetes_Surgery0",9,"median",7
"Diabetes_Surgery0",9,"min",7
"Diabetes_Surgery0",9,"sd",7
"Diabetes_Surgery0",9,"skew",7
"Diabetes_Surgery0",10,"cv",7
"Diabetes_Surgery0",10,"iqr",7
"Diabetes_Surgery0",10,"kurt",7
"Diabetes_Surgery0",10,"max",7
"Diabetes_Surgery0",10,"mean",7
"Diabetes_Surgery0",10,"median",7
"Diabetes_Surgery0",10,"min",7
"Diabetes_Surgery0",10,"sd",7
"Diabetes_Surgery0",10,"skew",7
"Diabetes_Surgery0",11,"cv",7
"Diabetes_Surgery0",11,"iqr",7
"Diabetes_Surgery0",11,"kurt",7
"Diabetes_Surgery0",11,"max",7
"Diabetes_Surgery0",11,"mean",7
"Diabetes_Surgery0",11,"median",7
"Diabetes_Surgery0",11,"min",7
"Diabetes_Surgery0",11,"sd",7
"Diabetes_Surgery0",11,"skew",7
"Diabetes_Surgery0",12,"cv",7
"Diabetes_Surgery0",12,"iqr",7
"Diabetes_Surgery0",12,"kurt",7
"Diabetes_Surgery0",12,"max",7
"Diabetes_Surgery0",12,"mean",7
"Diabetes_Surgery0",12,"median",7
"Diabetes_Surgery0",12,"min",7
"Diabetes_Surgery0",12,"sd",7
"Diabetes_Surgery0",12,"skew",7
"Diabetes_Surgery0",13,"cv",6
"Diabetes_Surgery0",13,"iqr",6
"Diabetes_Surgery0",13,"kurt",6
"Diabetes_Surgery0",13,"max",6
"Diabetes_Surgery0",13,"mean",6
"Diabetes_Surgery0",13,"median",6
"Diabetes_Surgery0",13,"min",6
"Diabetes_Surgery0",13,"sd",6
"Diabetes_Surgery0",13,"skew",6
"Diabetes_Surgery0",14,"cv",5
"Diabetes_Surgery0",14,"iqr",5
"Diabetes_Surgery0",14,"kurt",5
"Diabetes_Surgery0",14,"max",5
"Diabetes_Surgery0",14,"mean",5
"Diabetes_Surgery0",14,"median",5
"Diabetes_Surgery0",14,"min",5
"Diabetes_Surgery0",14,"sd",5
"Diabetes_Surgery0",14,"skew",5
"Diabetes_Surgery0",15,"cv",7
"Diabetes_Surgery0",15,"iqr",7
"Diabetes_Surgery0",15,"kurt",7
"Diabetes_Surgery0",15,"max",7
"Diabetes_Surgery0",15,"mean",7
"Diabetes_Surgery0",15,"median",7
"Diabetes_Surgery0",15,"min",7
"Diabetes_Surgery0",15,"sd",7
"Diabetes_Surgery0",15,"skew",7
"Diabetes_Surgery0",16,"cv",8
"Diabetes_Surgery0",16,"iqr",8
"Diabetes_Surgery0",16,"kurt",8
"Diabetes_Surgery0",16,"max",8
"Diabetes_Surgery0",16,"mean",8
"Diabetes_Surgery0",16,"median",8
"Diabetes_Surgery0",16,"min",8
"Diabetes_Surgery0",16,"sd",8
"Diabetes_Surgery0",16,"skew",8
"Diabetes_Surgery0",17,"cv",6
"Diabetes_Surgery0",17,"iqr",6
"Diabetes_Surgery0",17,"kurt",6
"Diabetes_Surgery0",17,"max",6
"Diabetes_Surgery0",17,"mean",6
"Diabetes_Surgery0",17,"median",6
"Diabetes_Surgery0",17,"min",6
"Diabetes_Surgery0",17,"sd",6
"Diabetes_Surgery0",17,"skew",6
"Diabetes_Surgery0",18,"cv",7
"Diabetes_Surgery0",18,"iqr",7
"Diabetes_Surgery0",18,"kurt",7
"Diabetes_Surgery0",18,"max",7
"Diabetes_Surgery0",18,"mean",7
"Diabetes_Surgery0",18,"median",7
"Diabetes_Surgery0",18,"min",7
"Diabetes_Surgery0",18,"sd",7
"Diabetes_Surgery0",18,"skew",7
"Diabetes_Surgery0",19,"cv",8
"Diabetes_Surgery0",19,"iqr",8
"Diabetes_Surgery0",19,"kurt",8
"Diabetes_Surgery0",19,"max",8
"Diabetes_Surgery0",19,"mean",8
"Diabetes_Surgery0",19,"median",8
"Diabetes_Surgery0",19,"min",8
"Diabetes_Surgery0",19,"sd",8
"Diabetes_Surgery0",19,"skew",8
"Diabetes_Surgery0",20,"cv",7
"Diabetes_Surgery0",20,"iqr",7
"Diabetes_Surgery0",20,"kurt",7
"Diabetes_Surgery0",20,"max",7
"Diabetes_Surgery0",20,"mean",7
"Diabetes_Surgery0",20,"median",7
"Diabetes_Surgery0",20,"min",7
"Diabetes_Surgery0",20,"sd",7
"Diabetes_Surgery0",20,"skew",7
"Diabetes_Surgery0",21,"cv",6
"Diabetes_Surgery0",21,"iqr",6
"Diabetes_Surgery0",21,"kurt",6
"Diabetes_Surgery0",21,"max",6
"Diabetes_Surgery0",21,"mean",6
"Diabetes_Surgery0",21,"median",6
"Diabetes_Surgery0",21,"min",6
"Diabetes_Surgery0",21,"sd",6
"Diabetes_Surgery0",21,"skew",6
"Diabetes_Surgery0",22,"cv",7
"Diabetes_Surgery0",22,"iqr",7
"Diabetes_Surgery0",22,"kurt",7
"Diabetes_Surgery0",22,"max",7
"Diabetes_Surgery0",22,"mean",7
"Diabetes_Surgery0",22,"median",7
"Diabetes_Surgery0",22,"min",7
"Diabetes_Surgery0",22,"sd",7
"Diabetes_Surgery0",22,"skew",7
"Diabetes_Surgery0",23,"cv",6
"Diabetes_Surgery0",23,"iqr",6
"Diabetes_Surgery0",23,"kurt",6
"Diabetes_Surgery0",23,"max",6
"Diabetes_Surgery0",23,"mean",6
"Diabetes_Surgery0",23,"median",6
"Diabetes_Surgery0",23,"min",6
"Diabetes_Surgery0",23,"sd",6
"Diabetes_Surgery0",23,"skew",6
"Diabetes_Surgery0",24,"cv",7
"Diabetes_Surgery0",24,"iqr",7
"Diabetes_Surgery0",24,"kurt",7
"Diabetes_Surgery0",24,"max",7
"Diabetes_Surgery0",24,"mean",7
"Diabetes_Surgery0",24,"median",7
"Diabetes_Surgery0",24,"min",7
"Diabetes_Surgery0",24,"sd",7
"Diabetes_Surgery0",24,"skew",7
"Diabetes_Surgery0",25,"cv",7
"Diabetes_Surgery0",25,"iqr",7
"Diabetes_Surgery0",25,"kurt",7
"Diabetes_Surgery0",25,"max",7
"Diabetes_Surgery0",25,"mean",7
"Diabetes_Surgery0",25,"median",7
"Diabetes_Surgery0",25,"min",7
"Diabetes_Surgery0",25,"sd",7
"Diabetes_Surgery0",25,"skew",7
"Diabetes_Surgery0",26,"cv",7
"Diabetes_Surgery0",26,"iqr",7
"Diabetes_Surgery0",26,"kurt",7
"Diabetes_Surgery0",26,"max",7
"Diabetes_Surgery0",26,"mean",7
"Diabetes_Surgery0",26,"median",7
"Diabetes_Surgery0",26,"min",7
"Diabetes_Surgery0",26,"sd",7
"Diabetes_Surgery0",26,"skew",7
"Diabetes_Surgery0",27,"cv",7
"Diabetes_Surgery0",27,"iqr",7
"Diabetes_Surgery0",27,"kurt",7
"Diabetes_Surgery0",27,"max",7
"Diabetes_Surgery0",27,"mean",7
"Diabetes_Surgery0",27,"median",7
"Diabetes_Surgery0",27,"min",7
"Diabetes_Surgery0",27,"sd",7
"Diabetes_Surgery0",27,"skew",7
"Diabetes_Surgery0",28,"cv",7
"Diabetes_Surgery0",28,"iqr",7
"Diabetes_Surgery0",28,"kurt",7
"Diabetes_Surgery0",28,"max",7
"Diabetes_Surgery0",28,"mean",7
"Diabetes_Surgery0",28,"median",7
"Diabetes_Surgery0",28,"min",7
"Diabetes_Surgery0",28,"sd",7
"Diabetes_Surgery0",28,"skew",7
"Diabetes_Surgery0",29,"cv",6
"Diabetes_Surgery0",29,"iqr",6
"Diabetes_Surgery0",29,"kurt",6
"Diabetes_Surgery0",29,"max",6
"Diabetes_Surgery0",29,"mean",6
"Diabetes_Surgery0",29,"median",6
"Diabetes_Surgery0",29,"min",6
"Diabetes_Surgery0",29,"sd",6
"Diabetes_Surgery0",29,"skew",6
"Diabetes_Surgery0",30,"cv",7
"Diabetes_Surgery0",30,"iqr",7
"Diabetes_Surgery0",30,"kurt",7
"Diabetes_Surgery0",30,"max",7
"Diabetes_Surgery0",30,"mean",7
"Diabetes_Surgery0",30,"median",7
"Diabetes_Surgery0",30,"min",7
"Diabetes_Surgery0",30,"sd",7
"Diabetes_Surgery0",30,"skew",7
"Diabetes_Surgery1",-7,"cv",11
"Diabetes_Surgery1",-7,"iqr",11
"Diabetes_Surgery1",-7,"kurt",11
"Diabetes_Surgery1",-7,"max",11
"Diabetes_Surgery1",-7,"mean",11
"Diabetes_Surgery1",-7,"median",11
"Diabetes_Surgery1",-7,"min",11
"Diabetes_Surgery1",-7,"sd",11
"Diabetes_Surgery1",-7,"skew",11
"Diabetes_Surgery1",-6,"cv",12
"Diabetes_Surgery1",-6,"iqr",12
"Diabetes_Surgery1",-6,"kurt",12
"Diabetes_Surgery1",-6,"max",12
"Diabetes_Surgery1",-6,"mean",12
"Diabetes_Surgery1",-6,"median",12
"Diabetes_Surgery1",-6,"min",12
"Diabetes_Surgery1",-6,"sd",12
"Diabetes_Surgery1",-6,"skew",12
"Diabetes_Surgery1",-5,"cv",13
"Diabetes_Surgery1",-5,"iqr",13
"Diabetes_Surgery1",-5,"kurt",13
"Diabetes_Surgery1",-5,"max",13
"Diabetes_Surgery1",-5,"mean",13
"Diabetes_Surgery1",-5,"median",13
"Diabetes_Surgery1",-5,"min",13
"Diabetes_Surgery1",-5,"sd",13
"Diabetes_Surgery1",-5,"skew",13
"Diabetes_Surgery1",-4,"cv",14
"Diabetes_Surgery1",-4,"iqr",14
"Diabetes_Surgery1",-4,"kurt",14
"Diabetes_Surgery1",-4,"max",14
"Diabetes_Surgery1",-4,"mean",14
"Diabetes_Surgery1",-4,"median",14
"Diabetes_Surgery1",-4,"min",14
"Diabetes_Surgery1",-4,"sd",14
"Diabetes_Surgery1",-4,"skew",14
"Diabetes_Surgery1",-3,"cv",13
"Diabetes_Surgery1",-3,"iqr",13
"Diabetes_Surgery1",-3,"kurt",13
"Diabetes_Surgery1",-3,"max",13
"Diabetes_Surgery1",-3,"mean",13
"Diabetes_Surgery1",-3,"median",13
"Diabetes_Surgery1",-3,"min",13
"Diabetes_Surgery1",-3,"sd",13
"Diabetes_Surgery1",-3,"skew",13
"Diabetes_Surgery1",-2,"cv",13
"Diabetes_Surgery1",-2,"iqr",13
"Diabetes_Surgery1",-2,"kurt",13
"Diabetes_Surgery1",-2,"max",13
"Diabetes_Surgery1",-2,"mean",13
"Diabetes_Surgery1",-2,"median",13
"Diabetes_Surgery1",-2,"min",13
"Diabetes_Surgery1",-2,"sd",13
"Diabetes_Surgery1",-2,"skew",13
"Diabetes_Surgery1",-1,"cv",14
"Diabetes_Surgery1",-1,"iqr",14
"Diabetes_Surgery1",-1,"kurt",14
"Diabetes_Surgery1",-1,"max",14
"Diabetes_Surgery1",-1,"mean",14
"Diabetes_Surgery1",-1,"median",14
"Diabetes_Surgery1",-1,"min",14
"Diabetes_Surgery1",-1,"sd",14
"Diabetes_Surgery1",-1,"skew",14
"Diabetes_Surgery1",0,"cv",14
"Diabetes_Surgery1",0,"iqr",14
"Diabetes_Surgery1",0,"kurt",14
"Diabetes_Surgery1",0,"max",14
"Diabetes_Surgery1",0,"mean",14
"Diabetes_Surgery1",0,"median",14
"Diabetes_Surgery1",0,"min",14
"Diabetes_Surgery1",0,"sd",14
"Diabetes_Surgery1",0,"skew",14
"Diabetes_Surgery1",1,"cv",14
"Diabetes_Surgery1",1,"iqr",14
"Diabetes_Surgery1",1,"kurt",14
"Diabetes_Surgery1",1,"max",14
"Diabetes_Surgery1",1,"mean",14
"Diabetes_Surgery1",1,"median",14
"Diabetes_Surgery1",1,"min",14
"Diabetes_Surgery1",1,"sd",14
"Diabetes_Surgery1",1,"skew",14
"Diabetes_Surgery1",2,"cv",15
"Diabetes_Surgery1",2,"iqr",15
"Diabetes_Surgery1",2,"kurt",15
"Diabetes_Surgery1",2,"max",15
"Diabetes_Surgery1",2,"mean",15
"Diabetes_Surgery1",2,"median",15
"Diabetes_Surgery1",2,"min",15
"Diabetes_Surgery1",2,"sd",15
"Diabetes_Surgery1",2,"skew",15
"Diabetes_Surgery1",3,"cv",14
"Diabetes_Surgery1",3,"iqr",14
"Diabetes_Surgery1",3,"kurt",14
"Diabetes_Surgery1",3,"max",14
"Diabetes_Surgery1",3,"mean",14
"Diabetes_Surgery1",3,"median",14
"Diabetes_Surgery1",3,"min",14
"Diabetes_Surgery1",3,"sd",14
"Diabetes_Surgery1",3,"skew",14
"Diabetes_Surgery1",4,"cv",14
"Diabetes_Surgery1",4,"iqr",14
"Diabetes_Surgery1",4,"kurt",14
"Diabetes_Surgery1",4,"max",14
"Diabetes_Surgery1",4,"mean",14
"Diabetes_Surgery1",4,"median",14
"Diabetes_Surgery1",4,"min",14
"Diabetes_Surgery1",4,"sd",14
"Diabetes_Surgery1",4,"skew",14
"Diabetes_Surgery1",5,"cv",13
"Diabetes_Surgery1",5,"iqr",13
"Diabetes_Surgery1",5,"kurt",13
"Diabetes_Surgery1",5,"max",13
"Diabetes_Surgery1",5,"mean",13
"Diabetes_Surgery1",5,"median",13
"Diabetes_Surgery1",5,"min",13
"Diabetes_Surgery1",5,"sd",13
"Diabetes_Surgery1",5,"skew",13
"Diabetes_Surgery1",6,"cv",13
"Diabetes_Surgery1",6,"iqr",13
"Diabetes_Surgery1",6,"kurt",13
"Diabetes_Surgery1",6,"max",13
"Diabetes_Surgery1",6,"mean",13
"Diabetes_Surgery1",6,"median",13
"Diabetes_Surgery1",6,"min",13
"Diabetes_Surgery1",6,"sd",13
"Diabetes_Surgery1",6,"skew",13
"Diabetes_Surgery1",7,"cv",14
"Diabetes_Surgery1",7,"iqr",14
"Diabetes_Surgery1",7,"kurt",14
"Diabetes_Surgery1",7,"max",14
"Diabetes_Surgery1",7,"mean",14
"Diabetes_Surgery1",7,"median",14
"Diabetes_Surgery1",7,"min",14
"Diabetes_Surgery1",7,"sd",14
"Diabetes_Surgery1",7,"skew",14
"Diabetes_Surgery1",8,"cv",13
"Diabetes_Surgery1",8,"iqr",13
"Diabetes_Surgery1",8,"kurt",13
"Diabetes_Surgery1",8,"max",13
"Diabetes_Surgery1",8,"mean",13
"Diabetes_Surgery1",8,"median",13
"Diabetes_Surgery1",8,"min",13
"Diabetes_Surgery1",8,"sd",13
"Diabetes_Surgery1",8,"skew",13
"Diabetes_Surgery1",9,"cv",14
"Diabetes_Surgery1",9,"iqr",14
"Diabetes_Surgery1",9,"kurt",14
"Diabetes_Surgery1",9,"max",14
"Diabetes_Surgery1",9,"mean",14
"Diabetes_Surgery1",9,"median",14
"Diabetes_Surgery1",9,"min",14
"Diabetes_Surgery1",9,"sd",14
"Diabetes_Surgery1",9,"skew",14
"Diabetes_Surgery1",10,"cv",13
"Diabetes_Surgery1",10,"iqr",13
"Diabetes_Surgery1",10,"kurt",13
"Diabetes_Surgery1",10,"max",13
"Diabetes_Surgery1",10,"mean",13
"Diabetes_Surgery1",10,"median",13
"Diabetes_Surgery1",10,"min",13
"Diabetes_Surgery1",10,"sd",13
"Diabetes_Surgery1",10,"skew",13
"Diabetes_Surgery1",11,"cv",12
"Diabetes_Surgery1",11,"iqr",12
"Diabetes_Surgery1",11,"kurt",12
"Diabetes_Surgery1",11,"max",12
"Diabetes_Surgery1",11,"mean",12
"Diabetes_Surgery1",11,"median",12
"Diabetes_Surgery1",11,"min",12
"Diabetes_Surgery1",11,"sd",12
"Diabetes_Surgery1",11,"skew",12
"Diabetes_Surgery1",12,"cv",12
"Diabetes_Surgery1",12,"iqr",12
"Diabetes_Surgery1",12,"kurt",12
"Diabetes_Surgery1",12,"max",12
"Diabetes_Surgery1",12,"mean",12
"Diabetes_Surgery1",12,"median",12
"Diabetes_Surgery1",12,"min",12
"Diabetes_Surgery1",12,"sd",12
"Diabetes_Surgery1",12,"skew",12
"Diabetes_Surgery1",13,"cv",12
"Diabetes_Surgery1",13,"iqr",12
"Diabetes_Surgery1",13,"kurt",12
"Diabetes_Surgery1",13,"max",12
"Diabetes_Surgery1",13,"mean",12
"Diabetes_Surgery1",13,"median",12
"Diabetes_Surgery1",13,"min",12
"Diabetes_Surgery1",13,"sd",12
"Diabetes_Surgery1",13,"skew",12
"Diabetes_Surgery1",14,"cv",11
"Diabetes_Surgery1",14,"iqr",11
"Diabetes_Surgery1",14,"kurt",11
"Diabetes_Surgery1",14,"max",11
"Diabetes_Surgery1",14,"mean",11
"Diabetes_Surgery1",14,"median",11
"Diabetes_Surgery1",14,"min",11
"Diabetes_Surgery1",14,"sd",11
"Diabetes_Surgery1",14,"skew",11
"Diabetes_Surgery1",15,"cv",11
"Diabetes_Surgery1",15,"iqr",11
"Diabetes_Surgery1",15,"kurt",11
"Diabetes_Surgery1",15,"max",11
"Diabetes_Surgery1",15,"mean",11
"Diabetes_Surgery1",15,"median",11
"Diabetes_Surgery1",15,"min",11
"Diabetes_Surgery1",15,"sd",11
"Diabetes_Surgery1",15,"skew",11
"Diabetes_Surgery1",16,"cv",11
"Diabetes_Surgery1",16,"iqr",11
"Diabetes_Surgery1",16,"kurt",11
"Diabetes_Surgery1",16,"max",11
"Diabetes_Surgery1",16,"mean",11
"Diabetes_Surgery1",16,"median",11
"Diabetes_Surgery1",16,"min",11
"Diabetes_Surgery1",16,"sd",11
"Diabetes_Surgery1",16,"skew",11
"Diabetes_Surgery1",17,"cv",10
"Diabetes_Surgery1",17,"iqr",10
"Diabetes_Surgery1",17,"kurt",10
"Diabetes_Surgery1",17,"max",10
"Diabetes_Surgery1",17,"mean",10
"Diabetes_Surgery1",17,"median",10
"Diabetes_Surgery1",17,"min",10
"Diabetes_Surgery1",17,"sd",10
"Diabetes_Surgery1",17,"skew",10
"Diabetes_Surgery1",18,"cv",9
"Diabetes_Surgery1",18,"iqr",9
"Diabetes_Surgery1",18,"kurt",9
"Diabetes_Surgery1",18,"max",9
"Diabetes_Surgery1",18,"mean",9
"Diabetes_Surgery1",18,"median",9
"Diabetes_Surgery1",18,"min",9
"Diabetes_Surgery1",18,"sd",9
"Diabetes_Surgery1",18,"skew",9
"Diabetes_Surgery1",19,"cv",11
"Diabetes_Surgery1",19,"iqr",11
"Diabetes_Surgery1",19,"kurt",11
"Diabetes_Surgery1",19,"max",11
"Diabetes_Surgery1",19,"mean",11
"Diabetes_Surgery1",19,"median",11
"Diabetes_Surgery1",19,"min",11
"Diabetes_Surgery1",19,"sd",11
"Diabetes_Surgery1",19,"skew",11
"Diabetes_Surgery1",20,"cv",11
"Diabetes_Surgery1",20,"iqr",11
"Diabetes_Surgery1",20,"kurt",11
"Diabetes_Surgery1",20,"max",11
"Diabetes_Surgery1",20,"mean",11
"Diabetes_Surgery1",20,"median",11
"Diabetes_Surgery1",20,"min",11
"Diabetes_Surgery1",20,"sd",11
"Diabetes_Surgery1",20,"skew",11
"Diabetes_Surgery1",21,"cv",13
"Diabetes_Surgery1",21,"iqr",13
"Diabetes_Surgery1",21,"kurt",13
"Diabetes_Surgery1",21,"max",13
"Diabetes_Surgery1",21,"mean",13
"Diabetes_Surgery1",21,"median",13
"Diabetes_Surgery1",21,"min",13
"Diabetes_Surgery1",21,"sd",13
"Diabetes_Surgery1",21,"skew",13
"Diabetes_Surgery1",22,"cv",14
"Diabetes_Surgery1",22,"iqr",14
"Diabetes_Surgery1",22,"kurt",14
"Diabetes_Surgery1",22,"max",14
"Diabetes_Surgery1",22,"mean",14
"Diabetes_Surgery1",22,"median",14
"Diabetes_Surgery1",22,"min",14
"Diabetes_Surgery1",22,"sd",14
"Diabetes_Surgery1",22,"skew",14
"Diabetes_Surgery1",23,"cv",13
"Diabetes_Surgery1",23,"iqr",13
"Diabetes_Surgery1",23,"kurt",13
"Diabetes_Surgery1",23,"max",13
"Diabetes_Surgery1",23,"mean",13
"Diabetes_Surgery1",23,"median",13
"Diabetes_Surgery1",23,"min",13
"Diabetes_Surgery1",23,"sd",13
"Diabetes_Surgery1",23,"skew",13
"Diabetes_Surgery1",24,"cv",13
"Diabetes_Surgery1",24,"iqr",13
"Diabetes_Surgery1",24,"kurt",13
"Diabetes_Surgery1",24,"max",13
"Diabetes_Surgery1",24,"mean",13
"Diabetes_Surgery1",24,"median",13
"Diabetes_Surgery1",24,"min",13
"Diabetes_Surgery1",24,"sd",13
"Diabetes_Surgery1",24,"skew",13
"Diabetes_Surgery1",25,"cv",13
"Diabetes_Surgery1",25,"iqr",13
"Diabetes_Surgery1",25,"kurt",13
"Diabetes_Surgery1",25,"max",13
"Diabetes_Surgery1",25,"mean",13
"Diabetes_Surgery1",25,"median",13
"Diabetes_Surgery1",25,"min",13
"Diabetes_Surgery1",25,"sd",13
"Diabetes_Surgery1",25,"skew",13
"Diabetes_Surgery1",26,"cv",13
"Diabetes_Surgery1",26,"iqr",13
"Diabetes_Surgery1",26,"kurt",13
"Diabetes_Surgery1",26,"max",13
"Diabetes_Surgery1",26,"mean",13
"Diabetes_Surgery1",26,"median",13
"Diabetes_Surgery1",26,"min",13
"Diabetes_Surgery1",26,"sd",13
"Diabetes_Surgery1",26,"skew",13
"Diabetes_Surgery1",27,"cv",13
"Diabetes_Surgery1",27,"iqr",13
"Diabetes_Surgery1",27,"kurt",13
"Diabetes_Surgery1",27,"max",13
"Diabetes_Surgery1",27,"mean",13
"Diabetes_Surgery1",27,"median",13
"Diabetes_Surgery1",27,"min",13
"Diabetes_Surgery1",27,"sd",13
"Diabetes_Surgery1",27,"skew",13
"Diabetes_Surgery1",28,"cv",11
"Diabetes_Surgery1",28,"iqr",11
"Diabetes_Surgery1",28,"kurt",11
"Diabetes_Surgery1",28,"max",11
"Diabetes_Surgery1",28,"mean",11
