"nd_cat_vs_dm_ppv","day","stat_type","n"
"Diabetes_PPV",9,"cv",14
"Diabetes_PPV",9,"iqr",14
"Diabetes_PPV",9,"kurt",14
"Diabetes_PPV",9,"max",14
"Diabetes_PPV",9,"mean",14
"Diabetes_PPV",9,"median",14
"Diabetes_PPV",9,"min",14
"Diabetes_PPV",9,"sd",14
"Diabetes_PPV",9,"skew",14
"Diabetes_PPV",10,"cv",13
"Diabetes_PPV",10,"iqr",13
"Diabetes_PPV",10,"kurt",13
"Diabetes_PPV",10,"max",13
"Diabetes_PPV",10,"mean",13
"Diabetes_PPV",10,"median",13
"Diabetes_PPV",10,"min",13
"Diabetes_PPV",10,"sd",13
"Diabetes_PPV",10,"skew",13
"Diabetes_PPV",11,"cv",12
"Diabetes_PPV",11,"iqr",12
"Diabetes_PPV",11,"kurt",12
"Diabetes_PPV",11,"max",12
"Diabetes_PPV",11,"mean",12
"Diabetes_PPV",11,"median",12
"Diabetes_PPV",11,"min",12
"Diabetes_PPV",11,"sd",12
"Diabetes_PPV",11,"skew",12
"Diabetes_PPV",12,"cv",12
"Diabetes_PPV",12,"iqr",12
"Diabetes_PPV",12,"kurt",12
"Diabetes_PPV",12,"max",12
"Diabetes_PPV",12,"mean",12
"Diabetes_PPV",12,"median",12
"Diabetes_PPV",12,"min",12
"Diabetes_PPV",12,"sd",12
"Diabetes_PPV",12,"skew",12
"Diabetes_PPV",13,"cv",12
"Diabetes_PPV",13,"iqr",12
"Diabetes_PPV",13,"kurt",12
"Diabetes_PPV",13,"max",12
"Diabetes_PPV",13,"mean",12
"Diabetes_PPV",13,"median",12
"Diabetes_PPV",13,"min",12
"Diabetes_PPV",13,"sd",12
"Diabetes_PPV",13,"skew",12
"Diabetes_PPV",14,"cv",11
"Diabetes_PPV",14,"iqr",11
"Diabetes_PPV",14,"kurt",11
"Diabetes_PPV",14,"max",11
"Diabetes_PPV",14,"mean",11
"Diabetes_PPV",14,"median",11
"Diabetes_PPV",14,"min",11
"Diabetes_PPV",14,"sd",11
"Diabetes_PPV",14,"skew",11
"Diabetes_PPV",15,"cv",11
"Diabetes_PPV",15,"iqr",11
"Diabetes_PPV",15,"kurt",11
"Diabetes_PPV",15,"max",11
"Diabetes_PPV",15,"mean",11
"Diabetes_PPV",15,"median",11
"Diabetes_PPV",15,"min",11
"Diabetes_PPV",15,"sd",11
"Diabetes_PPV",15,"skew",11
"Diabetes_PPV",16,"cv",11
"Diabetes_PPV",16,"iqr",11
"Diabetes_PPV",16,"kurt",11
"Diabetes_PPV",16,"max",11
"Diabetes_PPV",16,"mean",11
"Diabetes_PPV",16,"median",11
"Diabetes_PPV",16,"min",11
"Diabetes_PPV",16,"sd",11
"Diabetes_PPV",16,"skew",11
"Diabetes_PPV",17,"cv",10
"Diabetes_PPV",17,"iqr",10
"Diabetes_PPV",17,"kurt",10
"Diabetes_PPV",17,"max",10
"Diabetes_PPV",17,"mean",10
"Diabetes_PPV",17,"median",10
"Diabetes_PPV",17,"min",10
"Diabetes_PPV",17,"sd",10
"Diabetes_PPV",17,"skew",10
"Diabetes_PPV",18,"cv",9
"Diabetes_PPV",18,"iqr",9
"Diabetes_PPV",18,"kurt",9
"Diabetes_PPV",18,"max",9
"Diabetes_PPV",18,"mean",9
"Diabetes_PPV",18,"median",9
"Diabetes_PPV",18,"min",9
"Diabetes_PPV",18,"sd",9
"Diabetes_PPV",18,"skew",9
"Diabetes_PPV",19,"cv",11
"Diabetes_PPV",19,"iqr",11
"Diabetes_PPV",19,"kurt",11
"Diabetes_PPV",19,"max",11
"Diabetes_PPV",19,"mean",11
"Diabetes_PPV",19,"median",11
"Diabetes_PPV",19,"min",11
"Diabetes_PPV",19,"sd",11
"Diabetes_PPV",19,"skew",11
"Diabetes_PPV",20,"cv",11
"Diabetes_PPV",20,"iqr",11
"Diabetes_PPV",20,"kurt",11
"Diabetes_PPV",20,"max",11
"Diabetes_PPV",20,"mean",11
"Diabetes_PPV",20,"median",11
"Diabetes_PPV",20,"min",11
"Diabetes_PPV",20,"sd",11
"Diabetes_PPV",20,"skew",11
"Diabetes_PPV",21,"cv",13
"Diabetes_PPV",21,"iqr",13
"Diabetes_PPV",21,"kurt",13
"Diabetes_PPV",21,"max",13
"Diabetes_PPV",21,"mean",13
"Diabetes_PPV",21,"median",13
"Diabetes_PPV",21,"min",13
"Diabetes_PPV",21,"sd",13
"Diabetes_PPV",21,"skew",13
"Diabetes_PPV",22,"cv",14
"Diabetes_PPV",22,"iqr",14
"Diabetes_PPV",22,"kurt",14
"Diabetes_PPV",22,"max",14
"Diabetes_PPV",22,"mean",14
"Diabetes_PPV",22,"median",14
"Diabetes_PPV",22,"min",14
"Diabetes_PPV",22,"sd",14
"Diabetes_PPV",22,"skew",14
"Diabetes_PPV",23,"cv",13
"Diabetes_PPV",23,"iqr",13
"Diabetes_PPV",23,"kurt",13
"Diabetes_PPV",23,"max",13
"Diabetes_PPV",23,"mean",13
"Diabetes_PPV",23,"median",13
"Diabetes_PPV",23,"min",13
"Diabetes_PPV",23,"sd",13
"Diabetes_PPV",23,"skew",13
"Diabetes_PPV",24,"cv",13
"Diabetes_PPV",24,"iqr",13
"Diabetes_PPV",24,"kurt",13
"Diabetes_PPV",24,"max",13
"Diabetes_PPV",24,"mean",13
"Diabetes_PPV",24,"median",13
"Diabetes_PPV",24,"min",13
"Diabetes_PPV",24,"sd",13
"Diabetes_PPV",24,"skew",13
"Diabetes_PPV",25,"cv",13
"Diabetes_PPV",25,"iqr",13
"Diabetes_PPV",25,"kurt",13
"Diabetes_PPV",25,"max",13
"Diabetes_PPV",25,"mean",13
"Diabetes_PPV",25,"median",13
"Diabetes_PPV",25,"min",13
"Diabetes_PPV",25,"sd",13
"Diabetes_PPV",25,"skew",13
"Diabetes_PPV",26,"cv",13
"Diabetes_PPV",26,"iqr",13
"Diabetes_PPV",26,"kurt",13
"Diabetes_PPV",26,"max",13
"Diabetes_PPV",26,"mean",13
"Diabetes_PPV",26,"median",13
"Diabetes_PPV",26,"min",13
"Diabetes_PPV",26,"sd",13
"Diabetes_PPV",26,"skew",13
"Diabetes_PPV",27,"cv",13
"Diabetes_PPV",27,"iqr",13
"Diabetes_PPV",27,"kurt",13
"Diabetes_PPV",27,"max",13
"Diabetes_PPV",27,"mean",13
"Diabetes_PPV",27,"median",13
"Diabetes_PPV",27,"min",13
"Diabetes_PPV",27,"sd",13
"Diabetes_PPV",27,"skew",13
"Diabetes_PPV",28,"cv",11
"Diabetes_PPV",28,"iqr",11
"Diabetes_PPV",28,"kurt",11
"Diabetes_PPV",28,"max",11
"Diabetes_PPV",28,"mean",11
"Diabetes_PPV",28,"median",11
"Diabetes_PPV",28,"min",11
"Diabetes_PPV",28,"sd",11
"Diabetes_PPV",28,"skew",11
"Diabetes_PPV",29,"cv",11
"Diabetes_PPV",29,"iqr",11
"Diabetes_PPV",29,"kurt",11
"Diabetes_PPV",29,"max",11
"Diabetes_PPV",29,"mean",11
"Diabetes_PPV",29,"median",11
"Diabetes_PPV",29,"min",11
"Diabetes_PPV",29,"sd",11
"Diabetes_PPV",29,"skew",11
"Diabetes_PPV",30,"cv",12
"Diabetes_PPV",30,"iqr",12
"Diabetes_PPV",30,"kurt",12
"Diabetes_PPV",30,"max",12
"Diabetes_PPV",30,"mean",12
"Diabetes_PPV",30,"median",12
"Diabetes_PPV",30,"min",12
"Diabetes_PPV",30,"sd",12
"Diabetes_PPV",30,"skew",12
"No_Diabetes_Cataract",-7,"cv",7
"No_Diabetes_Cataract",-7,"iqr",7
"No_Diabetes_Cataract",-7,"kurt",7
"No_Diabetes_Cataract",-7,"max",7
"No_Diabetes_Cataract",-7,"mean",7
"No_Diabetes_Cataract",-7,"median",7
"No_Diabetes_Cataract",-7,"min",7
"No_Diabetes_Cataract",-7,"sd",7
"No_Diabetes_Cataract",-7,"skew",7
"No_Diabetes_Cataract",-6,"cv",13
"No_Diabetes_Cataract",-6,"iqr",13
"No_Diabetes_Cataract",-6,"kurt",13
"No_Diabetes_Cataract",-6,"max",13
"No_Diabetes_Cataract",-6,"mean",13
"No_Diabetes_Cataract",-6,"median",13
"No_Diabetes_Cataract",-6,"min",13
"No_Diabetes_Cataract",-6,"sd",13
"No_Diabetes_Cataract",-6,"skew",13
"No_Diabetes_Cataract",-5,"cv",13
"No_Diabetes_Cataract",-5,"iqr",13
"No_Diabetes_Cataract",-5,"kurt",13
"No_Diabetes_Cataract",-5,"max",13
"No_Diabetes_Cataract",-5,"mean",13
"No_Diabetes_Cataract",-5,"median",13
"No_Diabetes_Cataract",-5,"min",13
"No_Diabetes_Cataract",-5,"sd",13
"No_Diabetes_Cataract",-5,"skew",13
"No_Diabetes_Cataract",-4,"cv",15
"No_Diabetes_Cataract",-4,"iqr",15
"No_Diabetes_Cataract",-4,"kurt",15
"No_Diabetes_Cataract",-4,"max",15
"No_Diabetes_Cataract",-4,"mean",15
"No_Diabetes_Cataract",-4,"median",15
"No_Diabetes_Cataract",-4,"min",15
"No_Diabetes_Cataract",-4,"sd",15
"No_Diabetes_Cataract",-4,"skew",15
"No_Diabetes_Cataract",-3,"cv",18
"No_Diabetes_Cataract",-3,"iqr",18
"No_Diabetes_Cataract",-3,"kurt",18
"No_Diabetes_Cataract",-3,"max",18
"No_Diabetes_Cataract",-3,"mean",18
"No_Diabetes_Cataract",-3,"median",18
"No_Diabetes_Cataract",-3,"min",18
"No_Diabetes_Cataract",-3,"sd",18
"No_Diabetes_Cataract",-3,"skew",18
"No_Diabetes_Cataract",-2,"cv",16
"No_Diabetes_Cataract",-2,"iqr",16
"No_Diabetes_Cataract",-2,"kurt",16
"No_Diabetes_Cataract",-2,"max",16
"No_Diabetes_Cataract",-2,"mean",16
"No_Diabetes_Cataract",-2,"median",16
"No_Diabetes_Cataract",-2,"min",16
"No_Diabetes_Cataract",-2,"sd",16
"No_Diabetes_Cataract",-2,"skew",16
"No_Diabetes_Cataract",-1,"cv",16
"No_Diabetes_Cataract",-1,"iqr",16
"No_Diabetes_Cataract",-1,"kurt",16
"No_Diabetes_Cataract",-1,"max",16
"No_Diabetes_Cataract",-1,"mean",16
"No_Diabetes_Cataract",-1,"median",16
"No_Diabetes_Cataract",-1,"min",16
"No_Diabetes_Cataract",-1,"sd",16
"No_Diabetes_Cataract",-1,"skew",16
"No_Diabetes_Cataract",0,"cv",16
"No_Diabetes_Cataract",0,"iqr",16
"No_Diabetes_Cataract",0,"kurt",16
"No_Diabetes_Cataract",0,"max",16
"No_Diabetes_Cataract",0,"mean",16
"No_Diabetes_Cataract",0,"median",16
"No_Diabetes_Cataract",0,"min",16
"No_Diabetes_Cataract",0,"sd",16
"No_Diabetes_Cataract",0,"skew",16
"No_Diabetes_Cataract",1,"cv",16
"No_Diabetes_Cataract",1,"iqr",16
"No_Diabetes_Cataract",1,"kurt",16
"No_Diabetes_Cataract",1,"max",16
"No_Diabetes_Cataract",1,"mean",16
"No_Diabetes_Cataract",1,"median",16
"No_Diabetes_Cataract",1,"min",16
"No_Diabetes_Cataract",1,"sd",16
"No_Diabetes_Cataract",1,"skew",16
"No_Diabetes_Cataract",2,"cv",18
"No_Diabetes_Cataract",2,"iqr",18
"No_Diabetes_Cataract",2,"kurt",18
"No_Diabetes_Cataract",2,"max",18
"No_Diabetes_Cataract",2,"mean",18
"No_Diabetes_Cataract",2,"median",18
"No_Diabetes_Cataract",2,"min",18
"No_Diabetes_Cataract",2,"sd",18
"No_Diabetes_Cataract",2,"skew",18
"No_Diabetes_Cataract",3,"cv",18
"No_Diabetes_Cataract",3,"iqr",18
"No_Diabetes_Cataract",3,"kurt",18
"No_Diabetes_Cataract",3,"max",18
"No_Diabetes_Cataract",3,"mean",18
"No_Diabetes_Cataract",3,"median",18
"No_Diabetes_Cataract",3,"min",18
"No_Diabetes_Cataract",3,"sd",18
"No_Diabetes_Cataract",3,"skew",18
"No_Diabetes_Cataract",4,"cv",19
"No_Diabetes_Cataract",4,"iqr",19
"No_Diabetes_Cataract",4,"kurt",19
"No_Diabetes_Cataract",4,"max",19
"No_Diabetes_Cataract",4,"mean",19
"No_Diabetes_Cataract",4,"median",19
"No_Diabetes_Cataract",4,"min",19
"No_Diabetes_Cataract",4,"sd",19
"No_Diabetes_Cataract",4,"skew",19
"No_Diabetes_Cataract",5,"cv",18
"No_Diabetes_Cataract",5,"iqr",18
"No_Diabetes_Cataract",5,"kurt",18
"No_Diabetes_Cataract",5,"max",18
"No_Diabetes_Cataract",5,"mean",18
"No_Diabetes_Cataract",5,"median",18
"No_Diabetes_Cataract",5,"min",18
"No_Diabetes_Cataract",5,"sd",18
"No_Diabetes_Cataract",5,"skew",18
"No_Diabetes_Cataract",6,"cv",17
"No_Diabetes_Cataract",6,"iqr",17
"No_Diabetes_Cataract",6,"kurt",17
"No_Diabetes_Cataract",6,"max",17
"No_Diabetes_Cataract",6,"mean",17
"No_Diabetes_Cataract",6,"median",17
"No_Diabetes_Cataract",6,"min",17
"No_Diabetes_Cataract",6,"sd",17
"No_Diabetes_Cataract",6,"skew",17
"No_Diabetes_Cataract",7,"cv",17
"No_Diabetes_Cataract",7,"iqr",17
"No_Diabetes_Cataract",7,"kurt",17
"No_Diabetes_Cataract",7,"max",17
"No_Diabetes_Cataract",7,"mean",17
"No_Diabetes_Cataract",7,"median",17
"No_Diabetes_Cataract",7,"min",17
"No_Diabetes_Cataract",7,"sd",17
"No_Diabetes_Cataract",7,"skew",17
"No_Diabetes_Cataract",8,"cv",20
"No_Diabetes_Cataract",8,"iqr",20
"No_Diabetes_Cataract",8,"kurt",20
"No_Diabetes_Cataract",8,"max",20
"No_Diabetes_Cataract",8,"mean",20
"No_Diabetes_Cataract",8,"median",20
"No_Diabetes_Cataract",8,"min",20
"No_Diabetes_Cataract",8,"sd",20
"No_Diabetes_Cataract",8,"skew",20
"No_Diabetes_Cataract",9,"cv",21
"No_Diabetes_Cataract",9,"iqr",21
"No_Diabetes_Cataract",9,"kurt",21
"No_Diabetes_Cataract",9,"max",21
"No_Diabetes_Cataract",9,"mean",21
"No_Diabetes_Cataract",9,"median",21
"No_Diabetes_Cataract",9,"min",21
"No_Diabetes_Cataract",9,"sd",21
"No_Diabetes_Cataract",9,"skew",21
"No_Diabetes_Cataract",10,"cv",20
"No_Diabetes_Cataract",10,"iqr",20
"No_Diabetes_Cataract",10,"kurt",20
"No_Diabetes_Cataract",10,"max",20
"No_Diabetes_Cataract",10,"mean",20
"No_Diabetes_Cataract",10,"median",20
"No_Diabetes_Cataract",10,"min",20
"No_Diabetes_Cataract",10,"sd",20
"No_Diabetes_Cataract",10,"skew",20
"No_Diabetes_Cataract",11,"cv",20
"No_Diabetes_Cataract",11,"iqr",20
"No_Diabetes_Cataract",11,"kurt",20
"No_Diabetes_Cataract",11,"max",20
"No_Diabetes_Cataract",11,"mean",20
"No_Diabetes_Cataract",11,"median",20
"No_Diabetes_Cataract",11,"min",20
"No_Diabetes_Cataract",11,"sd",20
"No_Diabetes_Cataract",11,"skew",20
"No_Diabetes_Cataract",12,"cv",20
"No_Diabetes_Cataract",12,"iqr",20
"No_Diabetes_Cataract",12,"kurt",20
"No_Diabetes_Cataract",12,"max",20
"No_Diabetes_Cataract",12,"mean",20
"No_Diabetes_Cataract",12,"median",20
"No_Diabetes_Cataract",12,"min",20
"No_Diabetes_Cataract",12,"sd",20
"No_Diabetes_Cataract",12,"skew",20
"No_Diabetes_Cataract",13,"cv",20
"No_Diabetes_Cataract",13,"iqr",20
"No_Diabetes_Cataract",13,"kurt",19
"No_Diabetes_Cataract",13,"max",20
"No_Diabetes_Cataract",13,"mean",20
"No_Diabetes_Cataract",13,"median",20
"No_Diabetes_Cataract",13,"min",20
"No_Diabetes_Cataract",13,"sd",20
"No_Diabetes_Cataract",13,"skew",19
"No_Diabetes_Cataract",14,"cv",21
"No_Diabetes_Cataract",14,"iqr",21
"No_Diabetes_Cataract",14,"kurt",21
"No_Diabetes_Cataract",14,"max",21
"No_Diabetes_Cataract",14,"mean",21
"No_Diabetes_Cataract",14,"median",21
"No_Diabetes_Cataract",14,"min",21
"No_Diabetes_Cataract",14,"sd",21
"No_Diabetes_Cataract",14,"skew",21
"No_Diabetes_Cataract",15,"cv",19
"No_Diabetes_Cataract",15,"iqr",19
"No_Diabetes_Cataract",15,"kurt",19
"No_Diabetes_Cataract",15,"max",19
"No_Diabetes_Cataract",15,"mean",19
"No_Diabetes_Cataract",15,"median",19
"No_Diabetes_Cataract",15,"min",19
"No_Diabetes_Cataract",15,"sd",19
"No_Diabetes_Cataract",15,"skew",19
"No_Diabetes_Cataract",16,"cv",20
"No_Diabetes_Cataract",16,"iqr",20
"No_Diabetes_Cataract",16,"kurt",20
"No_Diabetes_Cataract",16,"max",20
"No_Diabetes_Cataract",16,"mean",20
"No_Diabetes_Cataract",16,"median",20
"No_Diabetes_Cataract",16,"min",20
"No_Diabetes_Cataract",16,"sd",20
"No_Diabetes_Cataract",16,"skew",20
"No_Diabetes_Cataract",17,"cv",20
"No_Diabetes_Cataract",17,"iqr",20
"No_Diabetes_Cataract",17,"kurt",20
"No_Diabetes_Cataract",17,"max",20
"No_Diabetes_Cataract",17,"mean",20
"No_Diabetes_Cataract",17,"median",20
"No_Diabetes_Cataract",17,"min",20
"No_Diabetes_Cataract",17,"sd",20
"No_Diabetes_Cataract",17,"skew",20
"No_Diabetes_Cataract",18,"cv",21
"No_Diabetes_Cataract",18,"iqr",21
"No_Diabetes_Cataract",18,"kurt",21
"No_Diabetes_Cataract",18,"max",21
"No_Diabetes_Cataract",18,"mean",21
"No_Diabetes_Cataract",18,"median",21
"No_Diabetes_Cataract",18,"min",21
"No_Diabetes_Cataract",18,"sd",21
"No_Diabetes_Cataract",18,"skew",21
"No_Diabetes_Cataract",19,"cv",22
"No_Diabetes_Cataract",19,"iqr",22
"No_Diabetes_Cataract",19,"kurt",22
"No_Diabetes_Cataract",19,"max",22
"No_Diabetes_Cataract",19,"mean",22
"No_Diabetes_Cataract",19,"median",22
"No_Diabetes_Cataract",19,"min",22
"No_Diabetes_Cataract",19,"sd",22
"No_Diabetes_Cataract",19,"skew",22
"No_Diabetes_Cataract",20,"cv",21
"No_Diabetes_Cataract",20,"iqr",21
"No_Diabetes_Cataract",20,"kurt",21
"No_Diabetes_Cataract",20,"max",21
"No_Diabetes_Cataract",20,"mean",21
"No_Diabetes_Cataract",20,"median",21
"No_Diabetes_Cataract",20,"min",21
"No_Diabetes_Cataract",20,"sd",21
"No_Diabetes_Cataract",20,"skew",21
"No_Diabetes_Cataract",21,"cv",22
"No_Diabetes_Cataract",21,"iqr",22
"No_Diabetes_Cataract",21,"kurt",22
"No_Diabetes_Cataract",21,"max",22
"No_Diabetes_Cataract",21,"mean",22
"No_Diabetes_Cataract",21,"median",22
"No_Diabetes_Cataract",21,"min",22
"No_Diabetes_Cataract",21,"sd",22
"No_Diabetes_Cataract",21,"skew",22
"No_Diabetes_Cataract",22,"cv",22
"No_Diabetes_Cataract",22,"iqr",22
"No_Diabetes_Cataract",22,"kurt",22
"No_Diabetes_Cataract",22,"max",22
"No_Diabetes_Cataract",22,"mean",22
"No_Diabetes_Cataract",22,"median",22
"No_Diabetes_Cataract",22,"min",22
"No_Diabetes_Cataract",22,"sd",22
"No_Diabetes_Cataract",22,"skew",22
"No_Diabetes_Cataract",23,"cv",22
"No_Diabetes_Cataract",23,"iqr",22
"No_Diabetes_Cataract",23,"kurt",22
"No_Diabetes_Cataract",23,"max",22
"No_Diabetes_Cataract",23,"mean",22
"No_Diabetes_Cataract",23,"median",22
"No_Diabetes_Cataract",23,"min",22
"No_Diabetes_Cataract",23,"sd",22
"No_Diabetes_Cataract",23,"skew",22
"No_Diabetes_Cataract",24,"cv",21
"No_Diabetes_Cataract",24,"iqr",21
"No_Diabetes_Cataract",24,"kurt",21
"No_Diabetes_Cataract",24,"max",21
"No_Diabetes_Cataract",24,"mean",21
"No_Diabetes_Cataract",24,"median",21
"No_Diabetes_Cataract",24,"min",21
"No_Diabetes_Cataract",24,"sd",21
"No_Diabetes_Cataract",24,"skew",21
"No_Diabetes_Cataract",25,"cv",19
"No_Diabetes_Cataract",25,"iqr",19
"No_Diabetes_Cataract",25,"kurt",19
"No_Diabetes_Cataract",25,"max",19
"No_Diabetes_Cataract",25,"mean",19
"No_Diabetes_Cataract",25,"median",19
"No_Diabetes_Cataract",25,"min",19
"No_Diabetes_Cataract",25,"sd",19
"No_Diabetes_Cataract",25,"skew",19
"No_Diabetes_Cataract",26,"cv",20
"No_Diabetes_Cataract",26,"iqr",20
"No_Diabetes_Cataract",26,"kurt",20
"No_Diabetes_Cataract",26,"max",20
"No_Diabetes_Cataract",26,"mean",20
"No_Diabetes_Cataract",26,"median",20
"No_Diabetes_Cataract",26,"min",20
"No_Diabetes_Cataract",26,"sd",20
"No_Diabetes_Cataract",26,"skew",20
"No_Diabetes_Cataract",27,"cv",20
"No_Diabetes_Cataract",27,"iqr",20
"No_Diabetes_Cataract",27,"kurt",20
"No_Diabetes_Cataract",27,"max",20
"No_Diabetes_Cataract",27,"mean",20
"No_Diabetes_Cataract",27,"median",20
"No_Diabetes_Cataract",27,"min",20
"No_Diabetes_Cataract",27,"sd",20
"No_Diabetes_Cataract",27,"skew",20
"No_Diabetes_Cataract",28,"cv",20
"No_Diabetes_Cataract",28,"iqr",20
"No_Diabetes_Cataract",28,"kurt",20
"No_Diabetes_Cataract",28,"max",20
"No_Diabetes_Cataract",28,"mean",20
"No_Diabetes_Cataract",28,"median",20
"No_Diabetes_Cataract",28,"min",20
"No_Diabetes_Cataract",28,"sd",20
"No_Diabetes_Cataract",28,"skew",20
"No_Diabetes_Cataract",29,"cv",20
"No_Diabetes_Cataract",29,"iqr",20
"No_Diabetes_Cataract",29,"kurt",20
"No_Diabetes_Cataract",29,"max",20
"No_Diabetes_Cataract",29,"mean",20
"No_Diabetes_Cataract",29,"median",20
"No_Diabetes_Cataract",29,"min",20
"No_Diabetes_Cataract",29,"sd",20
"No_Diabetes_Cataract",29,"skew",20
"No_Diabetes_Cataract",30,"cv",21
"No_Diabetes_Cataract",30,"iqr",21
"No_Diabetes_Cataract",30,"kurt",21
