"dm_group","day","stat_type","n"
"Diabetes",21,"max",19
"Diabetes",21,"mean",19
"Diabetes",21,"median",19
"Diabetes",21,"min",19
"Diabetes",21,"sd",19
"Diabetes",21,"skew",19
"Diabetes",22,"cv",21
"Diabetes",22,"iqr",21
"Diabetes",22,"kurt",21
"Diabetes",22,"max",21
"Diabetes",22,"mean",21
"Diabetes",22,"median",21
"Diabetes",22,"min",21
"Diabetes",22,"sd",21
"Diabetes",22,"skew",21
"Diabetes",23,"cv",19
"Diabetes",23,"iqr",19
"Diabetes",23,"kurt",19
"Diabetes",23,"max",19
"Diabetes",23,"mean",19
"Diabetes",23,"median",19
"Diabetes",23,"min",19
"Diabetes",23,"sd",19
"Diabetes",23,"skew",19
"Diabetes",24,"cv",20
"Diabetes",24,"iqr",20
"Diabetes",24,"kurt",20
"Diabetes",24,"max",20
"Diabetes",24,"mean",20
"Diabetes",24,"median",20
"Diabetes",24,"min",20
"Diabetes",24,"sd",20
"Diabetes",24,"skew",20
"Diabetes",25,"cv",20
"Diabetes",25,"iqr",20
"Diabetes",25,"kurt",20
"Diabetes",25,"max",20
"Diabetes",25,"mean",20
"Diabetes",25,"median",20
"Diabetes",25,"min",20
"Diabetes",25,"sd",20
"Diabetes",25,"skew",20
"Diabetes",26,"cv",20
"Diabetes",26,"iqr",20
"Diabetes",26,"kurt",20
"Diabetes",26,"max",20
"Diabetes",26,"mean",20
"Diabetes",26,"median",20
"Diabetes",26,"min",20
"Diabetes",26,"sd",20
"Diabetes",26,"skew",20
"Diabetes",27,"cv",20
"Diabetes",27,"iqr",20
"Diabetes",27,"kurt",20
"Diabetes",27,"max",20
"Diabetes",27,"mean",20
"Diabetes",27,"median",20
"Diabetes",27,"min",20
"Diabetes",27,"sd",20
"Diabetes",27,"skew",20
"Diabetes",28,"cv",18
"Diabetes",28,"iqr",18
"Diabetes",28,"kurt",18
"Diabetes",28,"max",18
"Diabetes",28,"mean",18
"Diabetes",28,"median",18
"Diabetes",28,"min",18
"Diabetes",28,"sd",18
"Diabetes",28,"skew",18
"Diabetes",29,"cv",17
"Diabetes",29,"iqr",17
"Diabetes",29,"kurt",17
"Diabetes",29,"max",17
"Diabetes",29,"mean",17
"Diabetes",29,"median",17
"Diabetes",29,"min",17
"Diabetes",29,"sd",17
"Diabetes",29,"skew",17
"Diabetes",30,"cv",19
"Diabetes",30,"iqr",19
"Diabetes",30,"kurt",19
"Diabetes",30,"max",19
"Diabetes",30,"mean",19
"Diabetes",30,"median",19
"Diabetes",30,"min",19
"Diabetes",30,"sd",19
"Diabetes",30,"skew",19
"No Diabetes",-7,"cv",7
"No Diabetes",-7,"iqr",7
"No Diabetes",-7,"kurt",7
"No Diabetes",-7,"max",7
"No Diabetes",-7,"mean",7
"No Diabetes",-7,"median",7
"No Diabetes",-7,"min",7
"No Diabetes",-7,"sd",7
"No Diabetes",-7,"skew",7
"No Diabetes",-6,"cv",13
"No Diabetes",-6,"iqr",13
"No Diabetes",-6,"kurt",13
"No Diabetes",-6,"max",13
"No Diabetes",-6,"mean",13
"No Diabetes",-6,"median",13
"No Diabetes",-6,"min",13
"No Diabetes",-6,"sd",13
"No Diabetes",-6,"skew",13
"No Diabetes",-5,"cv",13
"No Diabetes",-5,"iqr",13
"No Diabetes",-5,"kurt",13
"No Diabetes",-5,"max",13
"No Diabetes",-5,"mean",13
"No Diabetes",-5,"median",13
"No Diabetes",-5,"min",13
"No Diabetes",-5,"sd",13
"No Diabetes",-5,"skew",13
"No Diabetes",-4,"cv",15
"No Diabetes",-4,"iqr",15
"No Diabetes",-4,"kurt",15
"No Diabetes",-4,"max",15
"No Diabetes",-4,"mean",15
"No Diabetes",-4,"median",15
"No Diabetes",-4,"min",15
"No Diabetes",-4,"sd",15
"No Diabetes",-4,"skew",15
"No Diabetes",-3,"cv",18
"No Diabetes",-3,"iqr",18
"No Diabetes",-3,"kurt",18
"No Diabetes",-3,"max",18
"No Diabetes",-3,"mean",18
"No Diabetes",-3,"median",18
"No Diabetes",-3,"min",18
"No Diabetes",-3,"sd",18
"No Diabetes",-3,"skew",18
"No Diabetes",-2,"cv",16
"No Diabetes",-2,"iqr",16
"No Diabetes",-2,"kurt",16
"No Diabetes",-2,"max",16
"No Diabetes",-2,"mean",16
"No Diabetes",-2,"median",16
"No Diabetes",-2,"min",16
"No Diabetes",-2,"sd",16
"No Diabetes",-2,"skew",16
"No Diabetes",-1,"cv",16
"No Diabetes",-1,"iqr",16
"No Diabetes",-1,"kurt",16
"No Diabetes",-1,"max",16
"No Diabetes",-1,"mean",16
"No Diabetes",-1,"median",16
"No Diabetes",-1,"min",16
"No Diabetes",-1,"sd",16
"No Diabetes",-1,"skew",16
"No Diabetes",0,"cv",16
"No Diabetes",0,"iqr",16
"No Diabetes",0,"kurt",16
"No Diabetes",0,"max",16
"No Diabetes",0,"mean",16
"No Diabetes",0,"median",16
"No Diabetes",0,"min",16
"No Diabetes",0,"sd",16
"No Diabetes",0,"skew",16
"No Diabetes",1,"cv",16
"No Diabetes",1,"iqr",16
"No Diabetes",1,"kurt",16
"No Diabetes",1,"max",16
"No Diabetes",1,"mean",16
"No Diabetes",1,"median",16
"No Diabetes",1,"min",16
"No Diabetes",1,"sd",16
"No Diabetes",1,"skew",16
"No Diabetes",2,"cv",18
"No Diabetes",2,"iqr",18
"No Diabetes",2,"kurt",18
"No Diabetes",2,"max",18
"No Diabetes",2,"mean",18
"No Diabetes",2,"median",18
"No Diabetes",2,"min",18
"No Diabetes",2,"sd",18
"No Diabetes",2,"skew",18
"No Diabetes",3,"cv",18
"No Diabetes",3,"iqr",18
"No Diabetes",3,"kurt",18
"No Diabetes",3,"max",18
"No Diabetes",3,"mean",18
"No Diabetes",3,"median",18
"No Diabetes",3,"min",18
"No Diabetes",3,"sd",18
"No Diabetes",3,"skew",18
"No Diabetes",4,"cv",19
"No Diabetes",4,"iqr",19
"No Diabetes",4,"kurt",19
"No Diabetes",4,"max",19
"No Diabetes",4,"mean",19
"No Diabetes",4,"median",19
"No Diabetes",4,"min",19
"No Diabetes",4,"sd",19
"No Diabetes",4,"skew",19
"No Diabetes",5,"cv",18
"No Diabetes",5,"iqr",18
"No Diabetes",5,"kurt",18
"No Diabetes",5,"max",18
"No Diabetes",5,"mean",18
"No Diabetes",5,"median",18
"No Diabetes",5,"min",18
"No Diabetes",5,"sd",18
"No Diabetes",5,"skew",18
"No Diabetes",6,"cv",17
"No Diabetes",6,"iqr",17
"No Diabetes",6,"kurt",17
"No Diabetes",6,"max",17
"No Diabetes",6,"mean",17
"No Diabetes",6,"median",17
"No Diabetes",6,"min",17
"No Diabetes",6,"sd",17
"No Diabetes",6,"skew",17
"No Diabetes",7,"cv",17
"No Diabetes",7,"iqr",17
"No Diabetes",7,"kurt",17
"No Diabetes",7,"max",17
"No Diabetes",7,"mean",17
"No Diabetes",7,"median",17
"No Diabetes",7,"min",17
"No Diabetes",7,"sd",17
"No Diabetes",7,"skew",17
"No Diabetes",8,"cv",20
"No Diabetes",8,"iqr",20
"No Diabetes",8,"kurt",20
"No Diabetes",8,"max",20
"No Diabetes",8,"mean",20
"No Diabetes",8,"median",20
"No Diabetes",8,"min",20
"No Diabetes",8,"sd",20
"No Diabetes",8,"skew",20
"No Diabetes",9,"cv",21
"No Diabetes",9,"iqr",21
"No Diabetes",9,"kurt",21
"No Diabetes",9,"max",21
"No Diabetes",9,"mean",21
"No Diabetes",9,"median",21
"No Diabetes",9,"min",21
"No Diabetes",9,"sd",21
"No Diabetes",9,"skew",21
"No Diabetes",10,"cv",20
"No Diabetes",10,"iqr",20
"No Diabetes",10,"kurt",20
"No Diabetes",10,"max",20
"No Diabetes",10,"mean",20
"No Diabetes",10,"median",20
"No Diabetes",10,"min",20
"No Diabetes",10,"sd",20
"No Diabetes",10,"skew",20
"No Diabetes",11,"cv",20
"No Diabetes",11,"iqr",20
"No Diabetes",11,"kurt",20
"No Diabetes",11,"max",20
"No Diabetes",11,"mean",20
"No Diabetes",11,"median",20
"No Diabetes",11,"min",20
"No Diabetes",11,"sd",20
"No Diabetes",11,"skew",20
"No Diabetes",12,"cv",20
"No Diabetes",12,"iqr",20
"No Diabetes",12,"kurt",20
"No Diabetes",12,"max",20
"No Diabetes",12,"mean",20
"No Diabetes",12,"median",20
"No Diabetes",12,"min",20
"No Diabetes",12,"sd",20
"No Diabetes",12,"skew",20
"No Diabetes",13,"cv",20
"No Diabetes",13,"iqr",20
"No Diabetes",13,"kurt",19
"No Diabetes",13,"max",20
"No Diabetes",13,"mean",20
"No Diabetes",13,"median",20
"No Diabetes",13,"min",20
"No Diabetes",13,"sd",20
"No Diabetes",13,"skew",19
"No Diabetes",14,"cv",21
"No Diabetes",14,"iqr",21
"No Diabetes",14,"kurt",21
"No Diabetes",14,"max",21
"No Diabetes",14,"mean",21
"No Diabetes",14,"median",21
"No Diabetes",14,"min",21
"No Diabetes",14,"sd",21
"No Diabetes",14,"skew",21
"No Diabetes",15,"cv",19
"No Diabetes",15,"iqr",19
"No Diabetes",15,"kurt",19
"No Diabetes",15,"max",19
"No Diabetes",15,"mean",19
"No Diabetes",15,"median",19
"No Diabetes",15,"min",19
"No Diabetes",15,"sd",19
"No Diabetes",15,"skew",19
"No Diabetes",16,"cv",20
"No Diabetes",16,"iqr",20
"No Diabetes",16,"kurt",20
"No Diabetes",16,"max",20
"No Diabetes",16,"mean",20
"No Diabetes",16,"median",20
"No Diabetes",16,"min",20
"No Diabetes",16,"sd",20
"No Diabetes",16,"skew",20
"No Diabetes",17,"cv",20
"No Diabetes",17,"iqr",20
"No Diabetes",17,"kurt",20
"No Diabetes",17,"max",20
"No Diabetes",17,"mean",20
"No Diabetes",17,"median",20
"No Diabetes",17,"min",20
"No Diabetes",17,"sd",20
"No Diabetes",17,"skew",20
"No Diabetes",18,"cv",21
"No Diabetes",18,"iqr",21
"No Diabetes",18,"kurt",21
"No Diabetes",18,"max",21
"No Diabetes",18,"mean",21
"No Diabetes",18,"median",21
"No Diabetes",18,"min",21
"No Diabetes",18,"sd",21
"No Diabetes",18,"skew",21
"No Diabetes",19,"cv",22
"No Diabetes",19,"iqr",22
"No Diabetes",19,"kurt",22
"No Diabetes",19,"max",22
"No Diabetes",19,"mean",22
"No Diabetes",19,"median",22
"No Diabetes",19,"min",22
"No Diabetes",19,"sd",22
"No Diabetes",19,"skew",22
"No Diabetes",20,"cv",21
"No Diabetes",20,"iqr",21
"No Diabetes",20,"kurt",21
"No Diabetes",20,"max",21
"No Diabetes",20,"mean",21
"No Diabetes",20,"median",21
"No Diabetes",20,"min",21
"No Diabetes",20,"sd",21
"No Diabetes",20,"skew",21
"No Diabetes",21,"cv",22
"No Diabetes",21,"iqr",22
"No Diabetes",21,"kurt",22
"No Diabetes",21,"max",22
"No Diabetes",21,"mean",22
"No Diabetes",21,"median",22
"No Diabetes",21,"min",22
"No Diabetes",21,"sd",22
"No Diabetes",21,"skew",22
"No Diabetes",22,"cv",22
"No Diabetes",22,"iqr",22
"No Diabetes",22,"kurt",22
"No Diabetes",22,"max",22
"No Diabetes",22,"mean",22
"No Diabetes",22,"median",22
"No Diabetes",22,"min",22
"No Diabetes",22,"sd",22
"No Diabetes",22,"skew",22
"No Diabetes",23,"cv",22
"No Diabetes",23,"iqr",22
"No Diabetes",23,"kurt",22
"No Diabetes",23,"max",22
"No Diabetes",23,"mean",22
"No Diabetes",23,"median",22
"No Diabetes",23,"min",22
"No Diabetes",23,"sd",22
"No Diabetes",23,"skew",22
"No Diabetes",24,"cv",21
"No Diabetes",24,"iqr",21
"No Diabetes",24,"kurt",21
"No Diabetes",24,"max",21
"No Diabetes",24,"mean",21
"No Diabetes",24,"median",21
"No Diabetes",24,"min",21
"No Diabetes",24,"sd",21
"No Diabetes",24,"skew",21
"No Diabetes",25,"cv",19
"No Diabetes",25,"iqr",19
"No Diabetes",25,"kurt",19
"No Diabetes",25,"max",19
"No Diabetes",25,"mean",19
"No Diabetes",25,"median",19
"No Diabetes",25,"min",19
"No Diabetes",25,"sd",19
"No Diabetes",25,"skew",19
"No Diabetes",26,"cv",20
"No Diabetes",26,"iqr",20
"No Diabetes",26,"kurt",20
"No Diabetes",26,"max",20
"No Diabetes",26,"mean",20
"No Diabetes",26,"median",20
"No Diabetes",26,"min",20
"No Diabetes",26,"sd",20
"No Diabetes",26,"skew",20
"No Diabetes",27,"cv",20
"No Diabetes",27,"iqr",20
"No Diabetes",27,"kurt",20
"No Diabetes",27,"max",20
"No Diabetes",27,"mean",20
"No Diabetes",27,"median",20
"No Diabetes",27,"min",20
"No Diabetes",27,"sd",20
"No Diabetes",27,"skew",20
"No Diabetes",28,"cv",20
"No Diabetes",28,"iqr",20
"No Diabetes",28,"kurt",20
"No Diabetes",28,"max",20
"No Diabetes",28,"mean",20
"No Diabetes",28,"median",20
"No Diabetes",28,"min",20
"No Diabetes",28,"sd",20
"No Diabetes",28,"skew",20
"No Diabetes",29,"cv",20
"No Diabetes",29,"iqr",20
"No Diabetes",29,"kurt",20
"No Diabetes",29,"max",20
"No Diabetes",29,"mean",20
"No Diabetes",29,"median",20
"No Diabetes",29,"min",20
"No Diabetes",29,"sd",20
"No Diabetes",29,"skew",20
"No Diabetes",30,"cv",21
"No Diabetes",30,"iqr",21
"No Diabetes",30,"kurt",21
"No Diabetes",30,"max",21
"No Diabetes",30,"mean",21
"No Diabetes",30,"median",21
"No Diabetes",30,"min",21
"No Diabetes",30,"sd",21
"No Diabetes",30,"skew",21
