"Parameter","Parameter_Type","N","Pearson_r","Pearson_p","Pearson_CI_lower","Pearson_CI_upper","Spearman_rho","Spearman_p","Significant_Pearson","Significant_Spearman","Pearson_p_fdr","Spearman_p_fdr","Significant_Pearson_fdr","Significant_Spearman_fdr","Trend_Significant","Effect_Size_Category","Clinical_Relevance"
"VD_DCP_0_21_improvement","BloodFlow_Macular",12,-0.307536694405372,0.330846570218487,-0.749206505254348,0.323453025029386,-0.0769230769230769,0.817283290706317,FALSE,FALSE,0.72184706229488,0.891581771679619,FALSE,FALSE,FALSE,"Medium","Limited Clinical Relevance"
"VD_SVP_0_21_improvement","BloodFlow_Macular",12,0.251076218635945,0.431192474918749,-0.377173473788586,0.721075822621579,0.41958041958042,0.176577010697551,FALSE,FALSE,0.785217235363264,0.660428563627576,FALSE,FALSE,FALSE,"Small","Limited Clinical Relevance"
"VD_SVP_0_6_improvement","BloodFlow_Widefield",12,-0.239775566970198,0.452883052782774,-0.715252952141199,0.387440849969783,0.0839160839160839,0.800197517952335,FALSE,FALSE,0.785217235363264,0.891581771679619,FALSE,FALSE,FALSE,"Small","Limited Clinical Relevance"
"PA_DCP_0_21_improvement","BloodFlow_Macular",12,0.227667473004311,0.476683042964788,-0.398271836749031,0.708939902121421,0.321678321678322,0.308312360549134,FALSE,FALSE,0.785217235363264,0.776814418547331,FALSE,FALSE,FALSE,"Small","Limited Clinical Relevance"
"vision_improvement_1m","Vision",15,-0.182182606821271,0.515788507736195,-0.63516814232536,0.364055891642962,-0.209490460129704,0.453652181121494,FALSE,FALSE,0.785217235363264,0.787521564830595,FALSE,FALSE,FALSE,"Small","Limited Clinical Relevance"
"age","Vision",15,-0.178912963819652,0.523478156908843,-0.633147541963538,0.366984147375724,-0.168157693040261,0.549130963309787,FALSE,FALSE,0.785217235363264,0.787521564830595,FALSE,FALSE,FALSE,"Small","Limited Clinical Relevance"
"PA_Choroid_0_21_improvement","BloodFlow_Macular",12,0.159338606210181,0.620852004333116,-0.456288135008747,0.671807040827686,0.195804195804196,0.54287352062982,FALSE,FALSE,0.84150512152726,0.787521564830595,FALSE,FALSE,FALSE,"Small","Limited Clinical Relevance"
"PA_ICP_0_21_improvement","BloodFlow_Macular",12,0.154723992740131,0.631128841145445,-0.460026278536286,0.66920284036866,0.293706293706294,0.354332534211376,FALSE,FALSE,0.84150512152726,0.776814418547331,FALSE,FALSE,FALSE,"Small","Limited Clinical Relevance"
"PA_DCP_0_6_improvement","BloodFlow_Widefield",12,0.0999548716306209,0.757264793010887,-0.502788857354374,0.637298339435153,-0.034965034965035,0.921184082791962,FALSE,FALSE,0.956545001697963,0.9386633634935,FALSE,FALSE,FALSE,"Negligible","Limited Clinical Relevance"
"PA_SVP_0_6_improvement","BloodFlow_Widefield",12,-0.0481796541438815,0.881799086397145,-0.605343298073263,0.540671742778354,0.027972027972028,0.9386633634935,FALSE,FALSE,0.968399258781316,0.9386633634935,FALSE,FALSE,FALSE,"Negligible","Limited Clinical Relevance"
"VD_ICP_0_6_improvement","BloodFlow_Widefield",12,0.0444109321584482,0.890994376638151,-0.543339041821045,0.602944985370844,0.118881118881119,0.716184326595525,FALSE,FALSE,0.968399258781316,0.891581771679619,FALSE,FALSE,FALSE,"Negligible","Limited Clinical Relevance"
"VD_DCP_0_6_improvement","BloodFlow_Widefield",12,0.0206043431725597,0.949322690489585,-0.559918231824963,0.587558163710554,0.0909090909090909,0.783196910294608,FALSE,FALSE,0.968399258781316,0.891581771679619,FALSE,FALSE,FALSE,"Negligible","Limited Clinical Relevance"
"VD_ICP_0_21_improvement","BloodFlow_Macular",12,0.0168230870896343,0.958615052847605,-0.56250944435212,0.585075914980141,0.188811188811189,0.557827775088338,FALSE,FALSE,0.968399258781316,0.787521564830595,FALSE,FALSE,FALSE,"Negligible","Limited Clinical Relevance"
"PA_ICP_0_6_improvement","BloodFlow_Widefield",12,0.0128437606747004,0.968399258781316,-0.565224154679192,0.582452091274844,0.188811188811189,0.557827775088338,FALSE,FALSE,0.968399258781316,0.787521564830595,FALSE,FALSE,FALSE,"Negligible","Limited Clinical Relevance"
